"time","g__Methanobrevibacter","g__Methanomassiliicoccus","g__Actinobaculum","g__Actinomyces","g__Actinotignum","g__Varibaculum","g__Aeriscardovia","g__Alloscardovia","g__Bifidobacterium","g__Scardovia","g__Corynebacterium","g__Lawsonella","g__Frigoribacterium","g__Kocuria","g__Micrococcus","g__Rothia","g__Cutibacterium","g__Atopobium","g__Olsenella","g__Collinsella","g__Enorma","g__Adlercreutzia","g__Asaccharobacter","g__Eggerthella","g__Enterorhabdus","g__Gordonibacter","g__Slackia","g__Bacteroidetes_unclassified","g__Bacteroides","g__Bacteroidales_unclassified","g__Barnesiella","g__Coprobacter","g__Dysgonomonas","g__Butyricimonas","g__Odoribacter","g__Porphyromonas","g__Sanguibacteroides","g__Alloprevotella","g__Paraprevotella","g__Prevotella","g__Alistipes","g__Rikenella","g__Parabacteroides","g__Candidatus_Gastranaerophilales_unclassified","g__Chlamydia","g__Arthrospira","g__Gemella","g__Paenibacillus","g__Staphylococcus","g__Abiotrophia","g__Granulicatella","g__Bavariicoccus","g__Enterococcus","g__Lactobacillus","g__Pediococcus","g__Sharpea","g__Leuconostoc","g__Weissella","g__Lactococcus","g__Streptococcus","g__Catabacter","g__Christensenella","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Lactonifactor","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","g__Clostridiales_unclassified","g__Intestinimonas","g__Lawsonibacter","g__Monoglobus","g__Anaerofustis","g__Eubacteriaceae_unclassified","g__Eubacterium","g__Anaerocolumna","g__Anaerosporobacter","g__Anaerostipes","g__Anaerotignum","g__Blautia","g__Butyrivibrio","g__Cellulosilyticum","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Faecalicatena","g__Fusicatenibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae_unclassified","g__Murimonas","g__Robinsoniella","g__Roseburia","g__Sellimonas","g__Shuttleworthia","g__Tyzzerella","g__Oscillibacter","g__Peptococcus","g__Clostridioides","g__Intestinibacter","g__Peptostreptococcus","g__Romboutsia","g__Terrisporobacter","g__Agathobaculum","g__Anaerofilum","g__Anaeromassilibacillus","g__Anaerotruncus","g__Faecalibacterium","g__Flavonifractor","g__Gemmiger","g__Harryflintia","g__Pseudoflavonifractor","g__Ruminococcaceae_unclassified","g__Ruminococcus","g__Ruthenibacterium","g__Absiella","g__Bulleidia","g__Candidatus_Stoquefichus","g__Catenibacterium","g__Coprobacillus","g__Dielma","g__Erysipelatoclostridium","g__Erysipelothrix","g__Faecalicoccus","g__Faecalitalea","g__Holdemanella","g__Holdemania","g__Massiliomicrobiota","g__Solobacterium","g__Turicibacter","g__Firmicutes_unclassified","g__Acidaminococcus","g__Phascolarctobacterium","g__Megamonas","g__Mitsuokella","g__Allisonella","g__Anaeroglobus","g__Dialister","g__Megasphaera","g__Veillonella","g__Anaerococcus","g__Finegoldia","g__Parvimonas","g__Peptoniphilus","g__Tissierellia_unclassified","g__Fusobacterium","g__Victivallis","g__Enhydrobacter","g__Oxalobacter","g__Parasutterella","g__Sutterella","g__Turicimonas","g__Microvirgula","g__Eikenella","g__Neisseria","g__Bilophila","g__Desulfovibrio","g__Desulfovibrionaceae_unclassified","g__Campylobacter","g__Aeromonas","g__Citrobacter","g__Cronobacter","g__Enterobacter","g__Escherichia","g__Klebsiella","g__Kluyvera","g__Kosakonia","g__Leclercia","g__Raoultella","g__Hafnia","g__Morganella","g__Proteus","g__Providencia","g__Serratia","g__Wohlfahrtiimonas","g__Aggregatibacter","g__Haemophilus","g__Acinetobacter","g__Moraxella","g__Pseudomonas","g__Proteobacteria_unclassified","g__Brachyspira","g__Treponema","g__Cloacibacillus","g__Fretibacterium","g__Akkermansia","g__Saccharomyces","g__Blastocystis"
2,0,0,0,0,0,0,0,0,0.27755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935,0,0.00098,0,0,78.04815,0,0,0,0,0,0.83566,0,0,0,0,0,0.95643,0,6.97049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50559,0,0,0,0,0.04243,0.01429,0,0,0,0.17223,0,0,0.27158,0.00444,0.23374,0,0,0.05867,0.13237,0.03213,0,0.08111,0.12101,0.06448,0,0,0,5.21362,0.00746,0,0,0,0,0,0,0,0,0,0.01541,0,0.00271,0,3.37604,0.41971,0,0,0.01341,0.02765,0.52126,0.05201,0,0,0,0,0,0,0,0,0,0,0,0.01708,0,0,0,0.05365,0,0.0591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56548,0,0.04955,0,0,0,0.00291,0,0,0,0,0,0,0,0.10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54206,0,0,0,0,0.12604,0,0
3,0,0,0,0,0,0,0,0,0.12604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.75233,0,0,0,0,0,0.61676,0,0,0,0,0,0.22683,0,5.92997,0,0,0,0,0,0,0,0,0,0,0.00833,0,0,0,0,0,0,0,0,0,0.12844,0,0,0,0,0.03857,0.00232,0,0,0,0.70723,0,0,0.05279,0,0.38643,0,0,0.5278,0.21208,0.00814,0,0.03653,0.03,0.66008,0,0.00057,0,2.7967,0,0,0,0,0,0,0,0,0,0,0.01919,0,0,0,2.51843,0.20362,0,0,0,0.0437,0.56488,0.00714,0,0,0.01154,0,0,0.02639,0.01525,0,0,0,0,0.00895,0,0,0.00117,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38077,0,0.04485,0,0,0,0.00894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484,0,0,0,0.67061,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0.54924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01439,0,0.007,0,0,60.7348,0,0.02407,0,0,0,1.33219,0,0,0,0.00409,7.51464,2.24718,0,10.46121,0,0,0,0,0,0,0,0,0,0,0.01116,0,0,0,0,0,0,0,0,0,0.79093,0,0,0,0.00998,0.05887,0.02675,0,0,0,2.67868,0,0,1.35859,0,1.84991,0,0,0.37918,0.52272,0.09718,0,0.23743,0.09857,0.67625,0,0,0,0.50784,0,0,0,0.02638,0,0,0.01014,0,0,0,0.042,0,0.00482,0.0035,2.77529,0.99789,0,0,0,0.72203,1.61648,0.0836,0,0,0,0,0,0,0.14665,0,0,0,0,0.00318,0,0,0,0.03011,0,0.21186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92387,0,0.06788,0,0,0,0.00979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13167,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0.73707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.62364,0,0,0,0,0,1.14363,0,0,0,0,0,1.04131,0,6.09034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12605,0,0,0,0,0.3148,0,0,0,0,0.43491,0,0,1.8811,0,0.63701,0,0,0.38142,0.76679,0.02728,0,0.29495,0.00464,0.80257,0,0,0,2.35115,0,0,0,0,0,0,0,0,0,0,0.08097,0,0,0,6.25829,0.46067,0,0,0,0.16944,1.20745,0.02872,0,0,0,0,0,0.01695,0.00684,0,0,0,0,0.01395,0,0,0,0.02369,0,0.12818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30588,0,0.04858,0,0,0,0.0191,0,0,0,0,0,0,0,0.04268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52994,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0.36131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.28929,0,0,0,0,0,1.36219,0,0,0,0,0,1.33074,0,14.43795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64089,0,0,0,0.01147,0.3078,0.06201,0,0,0,1.51979,0,0,1.23324,0.0077,0.1998,0,0,0.16003,0.5276,0.0055,0,0.15052,0.09165,1.97407,0,0,0,2.42242,0,0,0,0,0,0,0,0,0,0,0.11456,0,0.02844,0,7.54937,2.20973,0,0,0,0.99908,0.56217,0.13415,0,0,0.0896,0,0,0.04822,0.0022,0,0,0,0,0.02065,0,0,0,0.04425,0,0.18545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68096,0,0.09156,0,0,0,0.03204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04644,0,0,0,1.06515,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0.12793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.43041,0,0.00741,0,0,0,0.97424,0,0,0,0.00119,0.01772,0.57654,0,11.83262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1637,0,0,0,0,0.80763,0,0,0,0,0.82822,0,0,0.33512,0.01668,0.15062,0,0,0.22332,0.28582,0.08986,0,0.02042,0.11945,0.15567,0,0,0,0.26651,0,0,0,0,0,0,0,0,0,0,0.00527,0,0.01459,0,3.90633,0.28422,0,0,0,0.05826,0.14891,0.00089,0,0,0.00696,0,0,0.04981,0.03901,0,0,0,0,0.01746,0,0,0,0.01162,0,0.1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34712,0,0.04673,0,0,0,0.00231,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0.03763,0,0,0,0.41527,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0.85955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2598,0,0,0,0,0,4.05133,0,0,0,0,0.03249,0.9692,0,17.51975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70068,0,0,0,0,0,0,0,0,0,1.01145,0,0,3.65693,0.2366,0.07927,0,0,0.40275,0.38219,0.01202,0,0.13571,0.28766,0.4583,0,0,0,2.51684,0,0,0,0,0,0,0,0,0,0,0.00974,0,0.04573,0,7.99697,1.29213,0,0,0,0.22282,0.39069,0.03346,0,0,0,0,0.00168,0.09443,0.00864,0,0,0,0,0.03161,0,0,0,0,0,0.25078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92336,0,0.09561,0,0,0,0.02412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06576,0,0,0,0.93999,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,1.13973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.56607,0,0,0,0,0,3.67279,0,0,0,0,0,1.84743,0,6.1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03693,0,0,0,0.46823,0,0,0,0,0,0,0,0,0,2.15771,0,0,2.56906,0.12537,0.2731,0,0,0.53013,0.9945,0.0096,0,0.22159,0.49131,1.096,0,0,0,0.99704,0,0,0,0,0,0,0,0,0,0,0.01786,0,0,0,5.84399,0.45034,0,0,0,0.08446,1.65093,0.00862,0,0,0,0,0,0.03718,0,0,0,0,0,0.02777,0,0,0,0.04182,0,0.07015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53254,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17651,0,0,0,0.67045,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,1.08608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04319,0,0.01002,0,0,47.82774,0,0,0,0,0,0.72291,0,0,0,0,0.11414,0.25833,0,13.59819,0,0,0,0,0,0,0,0,0,0,0.01359,0,0,0,0,0,0,0,0,0,0.48313,0,0,0,0,0.09175,0.01367,0,0,0,1.85355,0,0,3.07997,0.20189,0.46122,0,0,0.34315,0.33421,0.01068,0,1.28264,0.1043,2.65149,0,0,0,5.48744,0,0,0,0,0,0,0,0,0,0,0.12954,0,0.00573,0,13.88435,2.33778,0,0,0.01273,0.15335,0.47274,0.0752,0,0,0.01808,0,0,0.02911,0.05491,0,0,0,0,0.04237,0,0,0,0.09743,0,0.35281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28207,0,0.09346,0,0,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19956,0,0,0,0.67919,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0.27764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.35471,0,0,0,0,0,3.08104,0,0,0,0,1.02059,1.50951,0,6.64208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13377,0,0,0,0,0.14183,0,0,0,0,0.93002,0,0,2.33783,0.18357,0.60835,0,0,0.55069,1.04447,0.04358,0,0.71774,0.00932,0.69789,0,0,0,0.53032,0,0,0,0,0,0,0,0,0,0,0,0,0.02831,0,6.26618,0.29282,0,0,0.03915,0.13764,1.86941,0.13482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81318,0,0.08635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1941,0,0.13369,0,0,0,0.01743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09708,0,0,0,1.0749,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.80854,0,0,0,0,0,2.79058,0,0,0,0,0,0.41556,0,6.43789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22797,0,0,0,0,0.04104,0,0,0,0,0.00895,0,0,0.11363,0.06305,0.30854,0,0,0.05858,0.1634,0,0,0.11344,0,0.18834,0,0,0,2.14532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22542,1.69113,0,0,0,0.42708,0.28303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08749,0,0,0,0,0,0,0
