time,g__AV80,g__Abiotrophia,g__Acetatifactor,g__Acinetobacter,g__Actinomyces,g__Acutalibacter,g__Adlercreutzia,g__Aeromonas,g__Agathobaculum,g__Akkermansia,g__Alcaligenes,g__Aliarcobacter,g__Alistipes,g__Alloiococcus,g__Anaerobutyricum,g__Anaerococcus,g__Anaerofilum,g__Anaerofustis,g__Anaeromassilibacillus,g__Anaerosporobacter,g__Anaerostipes,g__Anaerotignum,g__Anaerotruncus,g__Anaerovibrio,g__Angelakisella,g__Aquabacterium,g__Asaia,g__Avispirillum,g__BX12,g__Bacteroides,g__Baekduia,g__Bariatricus,g__Bdellovibrio,g__Beduini,g__Bifidobacterium,g__Bilophila,g__Bittarella,g__Blautia,g__Bog,g__Borkfalkia,g__Bosea,g__Brachybacterium,g__Bradyrhizobium,g__Brevundimonas,g__Bryocella,g__Bulleidia,g__Burkholderia,g__Butyribacter,g__Butyricicoccus,g__Butyrivibrio,g__CAG-1024,g__CAG-127,g__CAG-1427,g__CAG-238,g__CAG-269,g__CAG-274,g__CAG-302,g__CAG-353,g__CAG-41,g__CAG-417,g__CAG-83,g__Caccousia,g__Campylobacter,g__Capnocytophaga,g__Caproiciproducens,g__Catenibacillus,g__Caulobacter,g__Cellulosilyticum,g__Christensenella,g__Chryseobacterium,g__Cloacibacterium,g__Clostridium,g__Cohnella,g__Collinsella,g__Comamonas,g__Conchiformibius,g__Coprobacillus,g__Coprococcus,g__Copromonas,g__Copromorpha,g__Corynebacterium,g__Cuneatibacter,g__Cupriavidus,g__Cutibacterium,g__DTU014,g__Deinococcus,g__Desulfovibrio,g__Dialister,g__Dielma,g__Dorea,g__Dysosmobacter,g__ER4,g__Edaphobacter,g__Eggerthella,g__Eikenella,g__Eisenbergiella,g__Emergencia,g__Emticicia,g__Enterocloster,g__Erysipelatoclostridium,g__Erysipelothrix,g__Ethanoligenens,g__Eubacterium,g__Evtepia,g__Ezakiella,g__Faecalibacillus,g__Faecalibacterium,g__Faecousia,g__Fenollaria,g__Fimbriiglobus,g__Fimbriimonas,g__Fimenecus,g__Fimiplasma,g__Finegoldia,g__Flavobacterium,g__Flavonifractor,g__Frisingicoccus,g__Fusicatenibacter,g__Fusobacterium,g__GCA-900066905,g__GWA2-73-35,g__Gemmata,g__Gemmiger,g__Glutamicibacter,g__Gordonibacter,g__Gp,g__Haemophilus,g__Harryflintia,g__Helcococcus,g__Holdemania,g__Hungatella,g__Hydrogeniiclostridium,g__Hydrogenoanaerobacterium,g__Intestinibacillus,g__Intestinibacter,g__JABFSM01,g__JC017,g__KBS-83,g__KBS-96,g__Lachnoanaerobaculum,g__Lachnospira,g__Lacticaseibacillus,g__Lactobacillus,g__Lactococcus,g__Lagierella,g__Lancefieldella,g__Lawsonella,g__Lawsonibacter,g__Leuconostoc,g__Limiplasma,g__Limivicinus,g__Limivivens,g__Longibaculum,g__Longicatena,g__MARSEILLE-P3954,g__Massilia,g__Massilibacillus,g__Massilicoli,g__Massiliimalia,g__Massilioclostridium,g__Mediterraneibacter,g__Merdibacter,g__Merdicola,g__Merdisoma,g__Methylobacterium,g__Micrococcus,g__Microvirgula,g__Mogibacterium,g__Monoglobus,g__Moraxella,g__Murdochiella,g__Muricomes,g__Negativicoccus,g__Neisseria,g__Neobittarella,g__Nesterenkonia,g__Niameybacter,g__Nocardioides,g__Nostoc,g__Novosphingobium,g__Odoribacter,g__Onthenecus,g__Onthomonas,g__PALSA-1081,g__Paludicola,g__Parabacteroides,g__Paraburkholderia,g__Paracoccus,g__Paralachnospira,g__Paramuribaculum,g__Pararheinheimera,g__Parasediminibacterium,g__Parvimonas,g__Pauljensenia,g__Pe,g__Pediococcus,g__Pedobacter,g__Peptoniphilus,g__Phascolarctobacterium,g__Phocaeicola,g__Phocea,g__Polynucleobacter,g__Porphyromonas,g__Prevotella,g__Pseudoflavonifractor,g__Pseudomonas,g__QAKW01,g__QAMM01,g__QHXM01,g__RQZE01,g__RUG13038,g__RUG13077,g__RUG762,g__Ralstonia,g__Reyranella,g__Roseburia,g__Rothia,g__Rubneribacter,g__Rubrimentiphilum,g__Ructibacterium,g__Ruminococcus,g__Ruthenibacterium,g__S5-A14a,g__SBAT01,g__SFDB01,g__SFLA01,g__Scatavimonas,g__Scatomonas,g__Sediminibacterium,g__Sellimonas,g__Soleaferrea,g__Solibaculum,g__Sphingomonas,g__Sphingopyxis,g__Staphylococcus,g__Stoquefichus,g__Streptococcus,g__Suipraeoptans,g__Sulfurospirillum,g__Tepidimonas,g__Terrisporobacter,g__Trueperella,g__Turicibacter,g__UBA10511,g__UBA1258,g__UBA1259,g__UBA1394,g__UBA1417,g__UBA1822,g__UBA2658,g__UBA5026,g__UBA5905,g__UBA644,g__UBA737,g__UBA738,g__UMGS1071,g__UMGS1375,g__UTPRO1,g__Urinicoccus,g__Ursidibacter,g__VFJQ01,g__VFKE01,g__Varibaculum,g__Veillonella,g__Vermiphilus,g__Vescimonas,g__Vibrio,g__Vitreoscilla,g__WQUU01,g__WRAI01,g__WRMH01,g__Weissella,g__Z2-YC6860,g__Zag
0,0,0,66,9,0,5,28,0,404,7,0,0,3541,0,0,0,19,0,49,0,493,422,144,0,0,0,0,17,6,10612,0,30,0,0,0,0,5,1154,0,6,0,0,0,0,0,0,0,126,6,8051,0,203,5,61,0,0,2091,0,69,31,5132,0,0,0,0,20,0,0,3,0,0,92,0,0,0,0,0,1532,603,21,0,0,0,0,20,0,0,0,8,89,1179,0,0,4,0,356,0,0,0,23,0,0,418,74,0,1141,9547,0,2,0,0,0,0,0,0,91,0,273,0,0,0,0,1478,0,8,0,0,0,0,35,0,9,2,16,0,0,2,0,0,0,154,0,0,13,0,0,0,101,17,54,423,0,0,0,0,0,0,0,0,14,642,0,0,39,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,2,3413,0,0,0,0,660,0,0,0,2273,40414,2,0,0,0,1,0,0,4,0,0,438,24,0,0,0,71,0,0,0,0,90,28,0,0,0,43,5378,0,0,46,0,1,0,0,0,4,3,0,0,0,0,0,0,0,17,3,0,210,0,0,0,0,9,30,0,12,14,0,0,0,0,0,0,0,0,475,0,0,12,18,0,30,0,0
1,0,0,190,8,0,101,76,0,677,0,0,0,6729,0,0,0,72,0,48,0,235,383,181,0,0,0,0,22,0,28565,0,0,0,0,0,0,6,1454,0,14,0,0,0,0,0,2,0,3212,12,10728,14,1258,0,133,0,0,538,0,199,6,3809,8,0,0,0,15,0,0,3,0,0,80,0,0,0,0,0,5038,831,13,0,0,0,0,8,0,0,0,5,69,1532,0,0,6,0,631,0,0,32,1,0,0,500,70,0,945,22342,0,0,0,0,0,0,0,0,86,0,207,0,2,0,0,1563,0,5,0,0,4,0,53,0,34,0,10,0,0,5,0,0,0,2274,0,2,3,0,0,0,109,9,37,396,0,0,0,0,0,0,2,2,47,680,2,0,4,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,4497,0,0,0,0,104,0,0,0,5792,77365,8,0,0,0,2,0,5,3,0,0,1064,33,0,0,0,707,0,0,0,0,200,60,0,0,5,28,949,0,0,26,0,3,0,0,0,13,13,0,0,0,0,0,0,0,0,2,0,692,0,0,0,58,13,20,0,23,53,0,0,0,0,0,0,2,0,1415,0,0,5,6,8,18,0,0
2,0,0,51,0,0,12,65,0,462,0,0,0,7238,0,0,0,51,0,25,0,160,333,79,0,0,0,0,31,0,33448,0,0,0,0,0,0,4,857,0,35,0,0,0,0,0,0,0,1870,6,17059,12,734,0,65,0,0,540,0,192,10,3591,8,0,0,4,21,0,0,6,0,0,29,0,0,0,0,0,4075,947,9,0,0,0,0,12,0,0,0,12,28,1869,0,0,3,0,370,0,0,0,4,0,0,459,37,0,778,18231,0,0,0,0,0,0,0,0,27,0,185,0,0,0,0,936,0,6,0,0,0,0,27,0,26,0,14,0,0,7,0,0,0,1526,0,0,2,0,0,0,97,8,18,682,0,0,0,0,0,0,0,2,19,332,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,2,0,0,0,1,7399,0,0,2,0,117,0,0,0,5754,120291,5,0,0,0,0,0,3,0,0,0,981,26,0,0,0,356,0,0,0,0,183,40,0,0,5,23,871,0,0,21,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,8,0,389,0,0,0,32,8,33,0,22,38,0,0,0,0,0,0,2,0,1131,0,0,0,4,4,18,0,0
3,0,0,25,9,0,5,60,0,638,7,0,0,3749,0,0,0,7,0,19,0,327,174,92,0,0,0,0,23,4,16095,0,9,0,0,0,0,5,1289,0,6,0,0,0,0,0,0,0,827,0,13993,2,733,5,57,0,0,405,0,316,7,4121,0,0,0,0,20,0,0,4,0,0,6,0,0,0,0,0,3062,176,16,0,0,0,0,7,0,0,0,8,58,1209,0,0,8,0,257,0,0,0,6,0,0,473,44,0,1129,17705,0,0,0,0,0,0,0,0,37,0,225,0,0,0,0,995,0,4,0,0,0,0,28,0,21,0,3,0,0,2,0,0,0,773,0,0,6,0,0,0,102,12,16,571,0,0,0,0,0,0,0,0,1,476,0,0,32,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,8,5041,0,0,0,0,177,0,0,0,3031,70652,0,0,0,0,0,0,1,0,0,0,1139,8,0,0,0,66,0,0,0,0,173,11,0,0,1,34,3360,0,0,3,0,1,0,0,0,23,4,0,0,0,0,0,0,0,0,7,0,295,0,0,0,7,14,47,0,11,44,0,0,0,0,0,0,0,0,730,0,0,0,4,0,10,0,0
4,0,0,83,0,0,1,27,0,199,0,0,0,6215,0,0,0,25,0,17,0,82,312,62,0,0,0,0,9,0,23077,0,0,0,0,0,0,3,185,0,0,0,0,0,0,0,0,0,1312,7,28802,10,1090,9,46,0,0,684,0,61,27,2626,0,0,0,0,7,0,0,2,0,0,8,0,0,0,0,0,1493,141,2,7,0,0,0,8,0,0,0,8,8,1203,0,0,0,0,617,0,0,0,0,0,0,56,10,0,202,6116,0,0,0,0,0,0,0,0,20,0,56,0,0,0,0,505,0,5,0,0,0,0,24,0,10,0,4,0,0,5,0,0,0,2513,0,0,0,0,0,0,110,6,6,415,0,0,0,0,0,0,0,0,26,240,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,4,6253,0,0,0,0,132,0,0,0,5365,98694,2,0,0,0,0,0,3,0,0,0,1094,15,0,0,0,778,0,0,0,0,339,50,0,0,1,33,5675,0,0,0,0,5,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,72,0,0,0,8,7,31,0,15,0,0,0,0,0,0,0,0,0,505,0,0,7,0,0,5,0,0
5,0,0,97,5,0,2,60,0,519,8,0,0,5028,0,0,0,34,0,23,0,254,226,177,0,0,0,0,11,6,18336,0,0,0,0,0,0,7,1140,0,6,0,0,0,0,0,0,0,687,3,10433,7,1369,20,57,0,0,1835,0,189,50,5796,0,0,0,0,26,0,0,0,0,0,19,0,0,0,0,0,4383,120,19,3,0,0,0,11,0,0,3,3,60,1682,0,0,18,0,572,0,0,0,7,0,0,405,43,0,1035,13739,0,7,0,0,0,0,7,0,60,0,250,0,2,0,0,1288,0,12,0,0,0,0,38,0,9,0,2,0,0,7,0,0,0,1187,0,0,7,0,0,0,145,23,49,755,0,0,0,0,0,0,0,2,7,849,0,0,33,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,4,0,0,0,9,5915,0,0,3,0,330,0,0,11,4525,64917,3,0,13,2,0,0,0,0,0,0,3030,26,0,0,0,311,0,0,0,0,669,36,0,0,0,83,9225,0,0,27,0,4,0,0,0,35,2,0,0,0,0,0,2,0,0,5,0,346,0,0,0,5,20,42,0,10,0,0,0,0,0,0,0,0,0,596,0,0,8,5,0,22,0,0
6,0,0,34,33,0,7,72,0,317,2,0,0,5180,0,0,0,46,0,10,0,79,315,147,0,0,0,0,17,4,24136,0,5,0,0,0,0,7,537,0,5,0,0,0,0,0,0,0,390,8,10854,2,553,4,34,0,0,1028,0,51,12,3332,0,0,0,0,10,0,0,4,0,0,15,0,0,0,0,0,1775,103,6,0,0,0,0,28,0,0,0,0,23,1507,0,0,3,0,826,0,0,0,0,0,0,321,30,0,385,9683,0,3,0,0,0,0,0,0,5,0,160,0,0,0,0,614,0,6,0,0,2,0,22,0,13,0,2,0,0,2,0,0,0,659,0,0,4,0,0,0,138,4,35,439,0,0,0,0,0,0,0,2,17,338,0,0,17,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,5577,0,0,0,0,37,0,0,0,4534,109411,0,0,0,0,0,10,0,0,0,0,934,24,0,0,0,187,0,0,0,0,497,46,0,0,7,53,4564,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,189,0,0,0,3,8,29,0,17,0,0,0,0,0,0,0,0,0,1000,0,0,3,7,0,6,0,0
7,0,0,80,3,0,0,20,0,712,2,0,0,4000,0,0,0,20,0,5,0,81,255,204,0,0,0,0,10,0,25125,0,0,0,0,0,0,5,501,0,16,0,0,0,0,0,0,0,1035,1,22873,10,1211,3,45,0,0,1105,0,177,2,4400,1,0,0,2,4,0,0,2,0,0,39,0,0,0,0,0,3918,342,3,0,0,0,0,22,0,0,0,3,40,1370,0,0,2,0,802,0,0,0,0,0,0,122,22,0,370,11090,0,0,0,0,0,0,0,0,53,0,108,0,3,0,0,604,0,0,0,0,3,0,31,0,2,0,0,0,0,2,0,0,0,1857,0,0,7,0,0,0,153,14,20,681,0,0,0,0,0,0,0,0,1,106,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,3,5757,0,0,0,0,68,0,0,0,5128,99370,6,0,0,0,0,0,3,0,0,0,538,59,0,0,0,550,0,0,0,0,2206,20,0,0,4,20,1341,0,0,0,0,2,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,147,0,0,4,25,0,27,0,28,0,0,0,0,0,0,0,0,0,458,0,0,0,6,0,17,0,0
8,0,0,144,11,0,0,69,0,3202,11,0,2,4331,0,0,0,35,0,4,0,357,460,102,0,0,0,0,48,3,37696,0,12,0,0,0,0,14,2777,0,16,0,0,0,0,0,0,0,1783,1,24816,7,1510,2,266,0,0,839,0,786,0,7316,0,0,0,0,10,0,0,8,0,0,4,0,0,0,0,0,6399,1110,21,0,0,0,0,8,0,0,0,14,141,1779,0,0,8,0,1248,0,0,0,12,0,0,367,66,0,1763,47389,0,0,0,0,0,2,2,0,137,0,750,0,2,0,0,2503,0,8,0,0,0,0,79,0,0,0,2,0,0,0,0,0,0,1117,0,0,21,0,0,0,134,46,23,1624,0,0,0,0,0,0,0,0,0,662,2,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,12,9347,0,0,4,0,115,0,0,0,5055,130518,5,0,0,0,0,0,8,3,0,0,740,55,0,0,0,263,0,0,0,0,7168,0,0,0,1,7,154,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,206,0,0,289,10,7,90,0,21,256,0,0,0,0,0,0,13,0,164,0,0,0,3,0,72,0,0
9,0,0,453,7,0,0,96,0,1449,6,0,0,8172,0,0,0,38,0,8,0,226,505,172,0,0,0,0,45,3,52463,0,1,0,0,0,0,4,705,0,24,0,0,0,0,0,0,0,1855,9,7478,15,1402,0,427,0,0,2937,0,358,0,11627,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,4886,708,23,0,0,0,0,16,0,0,0,10,37,3144,89,0,10,0,1806,0,0,0,9,0,0,255,31,0,619,28629,0,0,0,0,0,0,0,0,223,0,272,0,0,0,0,1732,0,6,0,0,0,0,54,0,0,0,0,0,0,2,0,0,0,2566,0,0,3,0,0,0,349,19,20,744,0,0,0,0,0,0,3,3,0,325,3,0,14,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,6,14401,0,0,0,0,218,0,0,0,8340,185808,7,0,0,0,0,0,13,6,0,0,1652,89,0,0,0,654,0,0,0,0,27134,18,0,0,2,29,19,0,0,24,0,6,0,0,0,4,5,0,0,0,0,0,0,0,0,17,0,176,0,0,1210,26,16,117,0,6,49,0,0,0,0,0,0,6,0,123,0,0,2,0,0,19,0,0
