time,g__[Eubacterium],g__[Prevotella],g__[Ruminococcus],g__02d06,g__1-68,g__5-7N15,g__Achromobacter,g__Acidaminococcus,g__Acinetobacter,g__Actinobacillus,g__Actinomyces,g__Adlercreutzia,g__Aerococcus,g__Aggregatibacter,g__Agrobacterium,g__Agrococcus,g__Akkermansia,g__Alcanivorax,g__Alicyclobacillus,g__Alistipes,g__Alkalimonas,g__Alkaliphilus,g__Allobaculum,g__Amycolatopsis,g__Anaerobacillus,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Anaerovorax,g__Anoxybacillus,g__Aquabacterium,g__Arcanobacterium,g__Arcobacter,g__Arthrobacter,g__Asticcacaulis,g__Atopobium,g__Azospirillum,g__Bacillus,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Brevibacterium,g__Brevundimonas,g__Brochothrix,g__Bulleidia,g__Burkholderia,g__Butyricimonas,g__Butyrivibrio,g__Caloramator,g__Campylobacter,g__Cardiobacterium,g__Carnobacterium,g__Catenibacterium,g__cc_115,g__Cellvibrio,g__Cetobacterium,g__CF231,g__Chitinophaga,g__Christensenella,g__Chryseobacterium,g__Citrobacter,g__Cloacibacillus,g__Cloacibacterium,g__Clostridium,g__Collinsella,g__Comamonas,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Crenothrix,g__Cronobacter,g__Cupriavidus,g__Cytophaga,g__Dechloromonas,g__Dehalobacterium,g__Deinococcus,g__Delftia,g__Dermacoccus,g__Desulfovibrio,g__Dialister,g__Dietzia,g__Dorea,g__Dyadobacter,g__Eggerthella,g__Eikenella,g__Enhydrobacter,g__Enterobacter,g__Enterococcus,g__Epulopiscium,g__Erwinia,g__Escherichia,g__Exiguobacterium,g__Facklamia,g__Faecalibacterium,g__Filifactor,g__Finegoldia,g__Flavobacterium,g__Fluviicola,g__Frigoribacterium,g__Fructobacillus,g__Fusobacterium,g__Gallicola,g__Gemella,g__Geobacillus,g__Gordonia,g__Granulicatella,g__Haemophilus,g__Helcococcus,g__Holdemania,g__Hydrogenophaga,g__Hyphomicrobium,g__Janthinobacterium,g__Jeotgalicoccus,g__Jonquetella,g__Kingella,g__Klebsiella,g__Kocuria,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Lautropia,g__Leptotrichia,g__Leucobacter,g__Leuconostoc,g__Luteimonas,g__Lutispora,g__Lysinibacillus,g__Lysobacter,g__Macrococcus,g__Megamonas,g__Megasphaera,g__Methanobrevibacter,g__Methanosphaera,g__Methylibium,g__Methylobacterium,g__Methylopila,g__Methylosinus,g__Microbacterium,g__Micrococcus,g__Microvirgula,g__Mitsuokella,g__Mobiluncus,g__Mogibacterium,g__Morganella,g__Moryella,g__Mucispirillum,g__Mycoplana,g__Mycoplasma,g__Myroides,g__Neisseria,g__Novosphingobium,g__Ochrobactrum,g__Odoribacter,g__Oligella,g__Oribacterium,g__Oscillospira,g__Oxalobacter,g__p-75-a5,g__Paenibacillus,g__Pantoea,g__Parabacteroides,g__Paracoccus,g__Paraprevotella,g__Parvimonas,g__Paucibacter,g__Pediococcus,g__Pedobacter,g__Peptococcus,g__Peptoniphilus,g__Peptostreptococcus,g__ph2,g__Phascolarctobacterium,g__Planomicrobium,g__Porphyromonas,g__Prevotella,g__Proteus,g__PSB-M-3,g__Pseudobutyrivibrio,g__Pseudomonas,g__Pseudoramibacter_Eubacterium,g__Psychrobacter,g__Pyramidobacter,g__Ralstonia,g__rc4-4,g__RFN20,g__Rhizobium,g__Rhodoplanes,g__Roseburia,g__Roseomonas,g__Rothia,g__Rubellimicrobium,g__Ruminococcus,g__Salinicoccus,g__Salmonella,g__Scardovia,g__Schwartzia,g__Sedimentibacter,g__Sediminibacterium,g__Selenomonas,g__Serratia,g__Sharpea,g__Shewanella,g__Shuttleworthia,g__Slackia,g__SMB53,g__Sneathia,g__Sphaerochaeta,g__Sphingobacterium,g__Sphingobium,g__Sphingomonas,g__Sphingopyxis,g__Sporosarcina,g__Staphylococcus,g__Stenotrophomonas,g__Streptococcus,g__Succiniclasticum,g__Succinivibrio,g__Sutterella,g__Synergistes,g__TG5,g__Thermus,g__Trabulsiella,g__Treponema,g__Trichococcus,g__Truepera,g__Trueperella,g__Turicibacter,g__Unclassified,g__vadinCA11,g__Vagococcus,g__Varibaculum,g__Veillonella,g__WAL_1855D,g__Wautersiella,g__Weissella,g__YRC22
1,0,0,9.16997406639656e-05,0,0,0,0,0,0,0,1.43280844787521e-06,0,0,8.59685068725928e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59091886022878e-05,0,0,0,0,0,0,0,0,0,0,0,0.012250512229332,1.43280844787521e-05,0.000157608929266253,0.000190563523567497,0,0,0,0,0,0.000101729399799118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217786884076168,1.43280844787521e-05,0,0,0.00406344475818236,0,0,0,0,0,0,0,0,0,0,4.29842534361963e-06,0.00596048314316777,0,2.57905520616778e-05,0,0,0,0,0,0,0,0,0,0,0,0.000521542275025929,0,0,0,0,0,0,0,0,0,0,0,0,0.000578854612941658,0,8.59685068725928e-06,0,0,0,0,0,0,0,0,2.72233605096711e-05,0.00682733225411665,0,0,0,0,0,0,0,0,0,0,0,2.86561689574642e-05,0.00148295674354997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270800796648117,0,0,0.000889774046130385,0,0,0,0,0.000230682160107507,0,1.43280844787521e-06,0,0,0,0,0,0,0,0,0.000277964838887083,0,4.29842534361963e-06,0.143674867085215,0,0,0,0,0,0,1.57608929266253e-05,0,1.86265098223718e-05,0,0,0,8.16700815288131e-05,0,0,0,0.000237846202346473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72530196448236e-05,0,0,0.000338142793697998,0,0,0,0,0,0,0,0,5.73123379149285e-06,0.821188371347541,0,0,0,8.31028899768064e-05,0,0,0,0
2,0,0,0.000237459659757734,0,0,0,0,0,0,0,1.59368899165624e-06,0,0,0,0,0,6.37475596663699e-06,0,0,3.18737798330848e-06,0,0,0,0,0,0,0,0.000108370851432689,0,0,0,1.59368899165624e-06,0,0,0,0,0,0,0,0.0297892345925833,4.30296027748147e-05,0.000949838639026929,0.000368142157071879,0,0,0,0,0,0.000210366946899361,0,0,1.59368899165624e-06,0,0,0,1.59368899165624e-06,0,0,0,0,6.37475596663699e-06,0,1.59368899165624e-06,0,0,0.000414359137831104,8.76528945411335e-05,1.59368899165624e-06,0,0.00110920753819335,4.78106697497274e-06,0,0,0,0,0,0,0,6.37475596663699e-06,0,1.75305789082267e-05,0.0111478544966402,0,9.88087174826631e-05,0,0,0,0,0,0,0,0,0,0,0,0.00113789394004363,0,0,0,0,0,0,0,0,0,0,0,0,7.96844495828122e-06,0,1.2749511933254e-05,0,0,0,0,0,0,1.59368899165624e-06,0,7.96844495828122e-06,0.00583927646543716,0,0,0,0,0,0,0,0,0,0,0,1.2749511933254e-05,0.00261524363530486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890872146336473,0,0,0.00191880154595471,0,0,0,0,0.00075859596002842,0,0,4.78106697497274e-06,0,0,0,0,1.59368899165624e-06,4.78106697497274e-06,0,0.00035698633413055,0,3.18737798330848e-06,0.0956962428814835,0,0,0,0,0,0,5.41854257163443e-05,0,8.44655165577248e-05,0,0,0,0.000145025698240686,0,0,0,0.000368142157071879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39053348747636e-05,0,0,0.00106777162440984,0,0,0,1.59368899165624e-06,0,0,0,0,2.07179568915552e-05,0.844309335067059,0,0,0,1.75305789082267e-05,1.75305789082267e-05,0,0,0
4,1.21709285199795e-05,2.43418570400391e-06,0.000610980611702676,4.86837140798778e-06,0,0,0,0,0,0,9.73674281597556e-06,0,0,0,0,0,0.000116840913791787,0,0,0,0,0,0,0,0,0,0,0.000742426639718687,0,0,0,0,0,0,0,0,4.86837140798778e-06,0,0,0.0153280673780524,0.00107834426686982,0.000158222070759553,0.00313766537244731,0,0,0,0,0,0.00014361695653573,0,0,0,0,0,0,2.43418570400391e-06,0,0,0,0,7.30255711199168e-06,0,0,2.43418570400391e-06,0,0.000589072940366341,9.0064871047844e-05,0,0,0.00279444518818807,2.43418570400391e-05,0,0,0,0,0,0,0,2.1907671335935e-05,0,9.73674281597556e-06,0.00452515122372854,0,0.000262892056032021,0,0,0,0,0,2.67760427439428e-05,0,0,0,0,0,0.00882392317697159,0,0,0,0,0,0,0,0,0,0,0,0,9.73674281597556e-05,0,3.16444141519506e-05,0,0,0,0,0,0,0,0,1.21709285199795e-05,0.00370239638404948,7.78939425277243e-05,2.43418570400391e-06,0,0,0,0,0,0,0,0,0,5.11178997837815e-05,0.0006255857259269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245852756103092,0,0,0.00121222448058854,0,0,0,0,0.00038703552693592,0,2.43418570400391e-06,0,0,0,0,0,0,0,0,9.73674281597556e-06,0,0,0.114496793043953,0,0,0,2.43418570400391e-06,0,0,0,0,0,0,0,0,9.0064871047844e-05,0,0,0,0.00129011842311706,0,0,0,0,0,0,0,0,0,0,0,0,2.43418570400391e-06,0,0,0,0,0,0,0,0,0,0.000150919513647641,0,0,2.43418570400391e-05,0,0,0,0,0,0,0,0,7.30255711199168e-06,0.838844735453612,0,0,0,9.98016138638596e-05,2.43418570400391e-06,0,0,0
5,0,0,0.00022776256223037,0,1.31763465753525e-05,0,0,0,0,0,3.76467045009785e-06,0,0,9.41167612525463e-06,0,0,1.69410170254503e-05,0,0,0,0,0,0,0,0,1.88233522505093e-06,0,0.000269173937181346,0,0,0,0,0,0,0,0,0,0,0,0.0080601594336764,0.00362161297299993,3.01173636007828e-05,0.00143057477103918,0,0,0,0,3.76467045009785e-06,2.82350283756838e-05,0,0,7.71757442270559e-05,0,0,0,0,0,0,0,0,0,0,9.41167612525463e-06,0,0,0.000171292505479602,3.95290397260774e-05,0,0,0.00256374057651954,5.64700567515678e-06,0,0,0,0,0,0,0,6.02347272015656e-05,0,0,0.00571476974325474,0,0.000167527835029604,0,1.88233522505093e-06,0,0,3.76467045009785e-06,5.64700567515678e-06,0,0,0,0,0,0.0190812321763376,0,3.76467045009785e-06,0,0,0,0,0,0,0,0,0,0,0.00141175141878819,0,7.5293409001957e-06,0,0,0,0,0,0,1.88233522505093e-06,0,3.76467045009785e-06,0.0022832726279852,0.000436701772211751,1.12940113503136e-05,0,1.88233522505093e-06,0,7.5293409001957e-06,0,0,0,0,0,0.000131763465753525,0.00238491873013214,0,0,0,0,0,0,0,0,0,0,1.31763465753525e-05,0,1.88233522505093e-06,0,0,0,0,0,0,0,0,4.89407158513721e-05,0,0,0.000500701169862714,0,0,0,0,7.90580794521549e-05,0,1.88233522505093e-06,0,0,0,0,0,2.82350283756838e-05,0,0,1.31763465753525e-05,0,5.0823051076471e-05,0.129120667113111,0,0,0,3.76467045009785e-06,0,0,1.88233522505093e-06,0,1.88233522505093e-05,0,0,0,3.19996988258817e-05,0,1.88233522505093e-06,0,0.000542112544815691,0,0,0,0,0,3.76467045009785e-06,0,0,0,0,0,0,0,0,0,0,0,1.88233522505093e-06,0,0,0,0,0.000425407760860757,0,0,0.000146822147553916,0,0,0,3.76467045009785e-06,0,0,0,0,5.27053863013699e-05,0.820167339588795,0,0,0,0.000289879624658835,0.000144939812329017,0,0,0
6,7.96095945670236e-06,0,0.000221314672896438,0,0,0,0,0,0,1.59219189133847e-06,4.77657567402542e-06,0,0,2.86594540440724e-05,0,0,1.43297270220562e-05,0,0,0,0,0,0,0,0,0,0,0.00113045624284941,0,0,0,4.77657567402542e-06,0,0,0,0,0,0,0,0.0203912014590444,0.000557267161967964,0.000181509875612525,0.00147914626705373,0,0,0,0,0,1.91063026960616e-05,3.18438378267694e-06,0,0,0,0,0,3.18438378267694e-06,0,0,0,0,0,0,0,0,0,0.000363019751225451,1.91063026960616e-05,0,0,0.00201253048079923,0,0,0,0,0,0,0,0,1.59219189133847e-05,0,3.18438378267694e-06,0.00802305494046194,0,0.000257935086396452,0,0,0,0,0,7.96095945670236e-06,0,1.59219189133847e-06,0,0,0,0.00602007754115156,0,0,0,0,0,0,0,0,0,0,0,0,0.00394385931484116,0,1.59219189133847e-06,0,0,0,0,0,0,0,0,7.96095945670236e-06,0.00400913918238945,3.50282216094664e-05,0,0,0,0,0,0,0,0,0,0,6.52798675448873e-05,0.000265896045854195,0,0,1.59219189133847e-06,0,0,0,0,0,0,0,0,0,0,1.59219189133847e-06,0,0,0,0,0,0,0,0.000130559735089775,0,1.59219189133847e-06,0.000878889924018355,0,0,0,0,9.71237053716567e-05,0,0,0,0,0,0,0,6.36876756535388e-06,0,0,4.29891810662087e-05,0,1.59219189133847e-06,0.118315779374977,0,0,0,0,0,0,6.36876756535388e-06,0,1.59219189133847e-06,0,0,0,0.000111453432393793,0,1.59219189133847e-06,0,0.000630507988969994,0,0,0,0,0,0,0,0,0,0,0,0,1.59219189133847e-06,0,0,0,0,0,0,0,1.59219189133847e-06,0,0.000557267161967964,0,0,0.000350282216094663,0,0,0,0,0,0,0,0,1.11453432393793e-05,0.82950968470093,0,0,0,0.000227683440461832,9.55315134803082e-06,0,0,0
7,2.68987128960791e-06,0,0.000875553104763741,0,5.37974257919574e-06,0,0,0,0,0,2.01740346719589e-05,1.34493564479994e-05,0,2.68987128960791e-06,0,0,0.000368512366674396,0,0,0,0,0,0,0,0,5.37974257919574e-06,0,0.000118354336742387,1.34493564479994e-06,0,0,0,0,0,0,0,1.34493564479994e-06,0,0,0.0178647801698612,0.00142159697655242,8.06961386880366e-06,0.00384517100847987,0,0,0,2.68987128960791e-06,0,0.000459967990520905,0,0,0,0,0,0,0,0,0,0,0,2.68987128960791e-05,0,5.37974257919574e-06,0,0,0.00127499899127038,0.00042096485682157,0,0,0.00124810027837269,2.68987128960791e-06,0,0,0,0,0,1.07594851583915e-05,0,1.34493564479994e-06,0,0,0.000146597985283049,0,0.000419619921177389,0,1.34493564479994e-06,0,0,1.34493564479994e-06,4.43828762782695e-05,0,2.68987128960791e-06,0,0,0,0.0312710986999375,0,2.68987128960791e-06,0,0,0,0,0,0,0,0,0,0,0.000117009401097603,0,2.8243648540863e-05,0,0,0,0,0,0,0,0,0,0.000965663792966068,1.47942920927833e-05,0.00156819496183647,0,0,0,5.37974257919574e-06,0,0,0,0,0,1.34493564479994e-06,0,0,0,0,0,0,0,0,0,0,0,2.68987128960791e-06,0,1.34493564479994e-06,0,0,0,0,0,0,0,0,0.000735679797704611,0,0,0.000746439282864087,4.03480693439179e-06,0,0,0,0.000391376272635521,0,1.34493564479994e-06,0,0,0,0,0,5.37974257919574e-06,9.41454951358753e-06,0,1.34493564479994e-05,0,9.41454951358753e-06,0.0105671593611872,0,0,0,1.34493564479994e-06,0,0,0,0,0,0,0,0,0.000111629658518266,0,8.06961386880366e-06,0,0.00159643861037633,0,0,0,0,0,0,0,0,0,0,0,0,4.03480693439179e-06,0,0,0,0,0,0,0,0,0,0.000854034134446797,0,0,1.34493564479994e-05,4.03480693439179e-06,0,0,1.88290990271951e-05,0,0,0,0,8.06961386880366e-06,0.922270789321775,0,0,0,1.34493564479994e-05,9.41454951358753e-06,0,0,0
9,2.87379031392293e-06,0,0.000849205037765028,0,7.18447578480733e-06,0,0,0,0,0,5.02913304936513e-05,5.74758062784587e-06,0,5.74758062784587e-06,0,0,0.000140815725382424,0,0,0,0,0,0,0,1.43689515696347e-06,7.18447578480733e-06,0,8.19030239470038e-05,0,0,0,0,0,0,0,0,4.3106854708844e-06,0,0,0.0141160580220007,0.0149940009629109,8.62137094178882e-06,0.0116589673036086,0,0,0,1.43689515696347e-06,0,5.17282256506128e-05,0,0,0,2.87379031392293e-06,0,0,0,0,0,0,0,2.1553427354422e-05,0,0,0,0,0.000928234271397908,0.00165099253535193,0,0,0.00512827881519267,2.73010079822679e-05,0,0,0,0,0,1.86796370405191e-05,0,2.01165321974605e-05,0,7.18447578480733e-06,0.000979962497049322,0,0.000821904029783561,0,4.3106854708844e-06,0,0,0,0.000281631450765248,0,0,0,0,0,0.011125879200361,0,5.74758062784587e-06,0,0,0,0,0,0,0,0,0,0,8.19030239470038e-05,0,1.00582660987503e-05,0,0,0,0,0,0,0,7.18447578480733e-06,2.87379031392293e-06,0.000682525199556697,0.000498602619467231,0,0,0,0,0,0,0,0,0,0,2.87379031392293e-06,3.01747982961908e-05,1.58058467265962e-05,0,0,0,0,0,0,0,0,0,1.43689515696347e-06,4.3106854708844e-06,0,0,0,0,0,0,1.43689515696347e-06,0,0,0.000179611894620384,0,0,0.00302753809572942,1.43689515696347e-06,0,0,0,0.000274446974980441,0,0,1.43689515696347e-06,0,1.43689515696347e-06,0,0,2.73010079822679e-05,8.62137094178882e-06,0,4.3106854708844e-06,0,4.59806450227669e-05,0.0281775140152685,0,0,0,1.43689515696347e-06,0,0,1.14951612557118e-05,0,0,0,0,0,8.19030239470038e-05,0,3.16116934531523e-05,0,0.00534093929842537,0,0,8.62137094178882e-06,0,0,0,0,0,0,0,0,0,1.43689515696347e-06,0,0,0,0,0,0,0,0,0,0.000403767539106973,0,0,1.72427418835576e-05,0,0,0,0,0,0,0,0,1.43689515696347e-06,0.897934463223377,0,0,0,2.1553427354422e-05,4.3106854708844e-05,0,0,0
11,1.00755667516242e-05,0,0.00121626484358811,2.8787333576012e-06,0,0,0,0,0,1.4393666788026e-06,3.45448002913346e-05,2.01511335033286e-05,0,0.000575746671522243,0,0,3.74235336488957e-05,0,0,1.4393666788026e-06,0,0,0,0,0,1.4393666788026e-06,0,7.48470672977914e-05,1.4393666788026e-06,0,0,0,0,0,0,0,7.19683339402303e-06,0,0,0.00722849946094719,0.00691615686258527,1.4393666788026e-06,0.00805901403461209,0,0,0,5.75746671522243e-06,1.4393666788026e-06,0.000102195034194923,0,0,0,0,0,0,0,0,0,0,0,7.19683339402303e-06,0,2.01511335033286e-05,0,0,0.00219071605728947,0.00170277078102496,0,0,0.00333933069483102,8.78013674069167e-05,0,0,0,0,0,2.8787333576012e-06,0,1.29543001092254e-05,0,4.3181000364018e-06,7.48470672977914e-05,0,0.000580064771558084,0,4.3181000364018e-06,0,0,7.19683339402303e-06,7.19683339402303e-06,0,8.63620007282363e-06,1.4393666788026e-06,0,0,0.0288736956268689,0,1.4393666788026e-06,0,0,0,0,1.4393666788026e-06,0,0,0,0,0,0.00617632241875309,0,7.19683339402303e-06,0,0,0,0,0,0,0,0,0,0.000888089240822134,0.000718243972723022,8.63620007282363e-06,0,0,0,7.34077006189107e-05,0,0,0,0,0,1.4393666788026e-06,1.4393666788026e-06,8.63620007282363e-06,0,0,0,0,0,0,0,0,0,0,7.19683339402303e-06,0,0,0,0,0,0,0,0,0,0.000207268801748408,0,8.63620007282363e-06,0.0010536164088834,0,0,0,1.4393666788026e-06,7.77258006553526e-05,0,0,4.3181000364018e-06,0,4.3181000364018e-06,0,0,1.4393666788026e-06,4.3181000364018e-06,0,7.19683339402303e-06,0,4.3181000364018e-06,0.00817848137736951,0,0,0,0,0,0,5.75746671522243e-06,0,0,0,0,0,0.000107952500910245,0,4.3181000364018e-05,0,0.00543073047912572,0,0,0,0,0,0,0,5.75746671522243e-06,0,0,0,0,4.03022670064568e-05,0,0,0,0,0,0,0,0,0,0.00496869377523666,0,0,3.02267002548927e-05,1.15149334304248e-05,1.4393666788026e-06,0,1.00755667516242e-05,0,0,0,0,0.000228859301929616,0.910344728409115,0,0,0,5.03778337580209e-05,1.29543001092254e-05,0,3.5984166970015e-05,0
12,1.09960194404446e-05,0,0.00137230322616825,0,0,0,0,0,0,0,1.31952233285255e-05,4.39840777618183e-06,0,1.75936311047073e-05,0,0,0.000211123573256808,0,0,0,0,0,0,0,0,2.1992038880809e-06,0,0.000248510039354764,0,0,0,0,0,0,0,0,2.1992038880809e-06,0,0,0.0127949682209081,0.00952915039760645,7.03745244188692e-05,0.00942358865665125,0,0,0,0,0,0.000175936311047073,0,0,0,0,0,0,2.1992038880809e-06,0,0,0,0,1.53944272166264e-05,0,0,0,0,0.00126454223565203,0.00040905192318469,0,0,0.00462272657275354,8.79681555236366e-06,0,0,0,0,0,2.85896505450717e-05,0,2.1992038880809e-06,0,6.59761166426273e-06,0.000483824855378599,0,0.00110400034160305,0,4.39840777618183e-06,0,0,0,4.39840777618183e-06,0,0,0,0,0,0.0436058147244415,0,0,0,0,0,0,0,0,0,0,0,0,5.93785049783646e-05,0,1.09960194404446e-05,0,0,0,0,0,0,0,0,1.09960194404446e-05,0.000848892700802873,8.35697477473947e-05,0,0,0,0,0,0,0,0,0,0,0,1.75936311047073e-05,2.1992038880809e-06,0,0,0,0,0,0,0,0,0,2.1992038880809e-06,2.1992038880809e-06,0,0,0,0,0,0,0,0,0,0.000277099689899435,0,0,0.00235754656802801,2.1992038880809e-06,0,0,0,0.000281498097675076,0,0,0,0,0,0,0,6.59761166426273e-06,0,0,2.41912427690301e-05,0,0,0.0223505091939272,0,0,0,0,0,0,1.53944272166264e-05,0,0,0,0,0,0.000142948252725759,0,8.79681555236366e-06,0,0.00502298168039096,0,0,0,0,0,0,0,0,0,0,0,0,1.53944272166264e-05,0,0,0,0,0,0,0,0,0,0.0013041279056368,0,0,6.59761166426273e-06,4.39840777618183e-06,0,0,0,0,0,0,0,1.09960194404446e-05,0.881630049880326,0,0,0,4.39840777618183e-05,1.75936311047073e-05,0,0,0
13,1.39974041163695e-05,0,0.000748224874584458,0,1.27249128330668e-06,0,0,0,2.54498256660536e-06,0,3.05397907993043e-05,1.65423866829949e-05,0,0.000353752576759026,0,0,5.08996513323074e-05,0,0,6.36245641653341e-06,0,0,0,0,0,2.54498256660536e-06,0,0.000389382332692381,3.81747384992806e-06,0,0,0,0,0,0,0,0,0,2.54498256660536e-06,0.0175209325178844,0.00734736466981073,6.36245641653341e-05,0.00531774107294676,0,0,0,0,0,0.000122159163197418,1.27249128330668e-06,0,3.81747384992806e-06,0,0,0,0,0,0,0,0,0,0,5.08996513323074e-06,0,0,0.000408469701941321,0.0010434428523114,1.27249128330668e-06,0,0.00550606968940351,1.01799302664615e-05,0,0,0,0,0,0,0,7.63494769983609e-06,0,1.27249128330668e-06,0.0247652254336928,0,0.000724047540202467,0,5.08996513323074e-06,0,1.27249128330668e-06,0,2.16323518162657e-05,0,0,0,0,0,0.00537882065452735,0,0,1.27249128330668e-06,0,0,0,2.54498256660536e-06,0,0,0,0,0,0.0026289669913087,0,6.36245641653341e-06,0,0,0,0,0,0,1.27249128330668e-06,0,5.08996513323074e-06,0.00103199043076204,0.000662967958601857,9.03468811148505e-05,0,0,0,1.39974041163695e-05,0,0,0,0,0,0.000338482681359874,0.00428702313346398,1.14524215497642e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90743898313878e-06,0,0,0.000260860713078851,0,1.27249128330668e-06,0.000451734405574253,6.36245641653341e-06,0,0,0,0.00017560379709625,0,2.54498256660536e-06,0,0,0,0,0,1.27249128330668e-06,0,0,4.07197210658058e-05,0,6.36245641653341e-06,0.0686038226353239,0,0,0,3.81747384992806e-06,0,0,1.27249128330668e-06,0,1.27249128330668e-06,0,0,0,0.000282493064894316,0,2.54498256660536e-05,0,0.00328557249350025,0,0,0,0,0,0,0,1.27249128330668e-06,0,0,0,0,2.92672995160417e-05,0,0,0,0,0,0,0,0,0,0.00129285114383889,0,0,0.000103071793947877,0,0,0,1.27249128330668e-06,0,0,0,0,7.50769857150983e-05,0.846015829706099,0,0,0,0.000357570050608814,3.81747384992806e-06,0,0,0
