"time","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__02d06","g__1-68","g__5-7N15","g__Achromobacter","g__Acidaminococcus","g__Acinetobacter","g__Actinobacillus","g__Actinomyces","g__Adlercreutzia","g__Aerococcus","g__Aggregatibacter","g__Agrobacterium","g__Agrococcus","g__Akkermansia","g__Alcanivorax","g__Alicyclobacillus","g__Alistipes","g__Alkalimonas","g__Alkaliphilus","g__Allobaculum","g__Amycolatopsis","g__Anaerobacillus","g__Anaerococcus","g__Anaerofustis","g__Anaerostipes","g__Anaerotruncus","g__Anaerovorax","g__Anoxybacillus","g__Aquabacterium","g__Arcanobacterium","g__Arcobacter","g__Arthrobacter","g__Asticcacaulis","g__Atopobium","g__Azospirillum","g__Bacillus","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Brevibacterium","g__Brevundimonas","g__Brochothrix","g__Bulleidia","g__Burkholderia","g__Butyricimonas","g__Butyrivibrio","g__Caloramator","g__Campylobacter","g__Cardiobacterium","g__Carnobacterium","g__Catenibacterium","g__cc_115","g__Cellvibrio","g__Cetobacterium","g__CF231","g__Chitinophaga","g__Christensenella","g__Chryseobacterium","g__Citrobacter","g__Cloacibacillus","g__Cloacibacterium","g__Clostridium","g__Collinsella","g__Comamonas","g__Coprobacillus","g__Coprococcus","g__Corynebacterium","g__Crenothrix","g__Cronobacter","g__Cupriavidus","g__Cytophaga","g__Dechloromonas","g__Dehalobacterium","g__Deinococcus","g__Delftia","g__Dermacoccus","g__Desulfovibrio","g__Dialister","g__Dietzia","g__Dorea","g__Dyadobacter","g__Eggerthella","g__Eikenella","g__Enhydrobacter","g__Enterobacter","g__Enterococcus","g__Epulopiscium","g__Erwinia","g__Escherichia","g__Exiguobacterium","g__Facklamia","g__Faecalibacterium","g__Filifactor","g__Finegoldia","g__Flavobacterium","g__Fluviicola","g__Frigoribacterium","g__Fructobacillus","g__Fusobacterium","g__Gallicola","g__Gemella","g__Geobacillus","g__Gordonia","g__Granulicatella","g__Haemophilus","g__Helcococcus","g__Holdemania","g__Hydrogenophaga","g__Hyphomicrobium","g__Janthinobacterium","g__Jeotgalicoccus","g__Jonquetella","g__Kingella","g__Klebsiella","g__Kocuria","g__Lachnobacterium","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leucobacter","g__Leuconostoc","g__Luteimonas","g__Lutispora","g__Lysinibacillus","g__Lysobacter","g__Macrococcus","g__Megamonas","g__Megasphaera","g__Methanobrevibacter","g__Methanosphaera","g__Methylibium","g__Methylobacterium","g__Methylopila","g__Methylosinus","g__Microbacterium","g__Micrococcus","g__Microvirgula","g__Mitsuokella","g__Mobiluncus","g__Mogibacterium","g__Morganella","g__Moryella","g__Mucispirillum","g__Mycoplana","g__Mycoplasma","g__Myroides","g__Neisseria","g__Novosphingobium","g__Ochrobactrum","g__Odoribacter","g__Oligella","g__Oribacterium","g__Oscillospira","g__Oxalobacter","g__p-75-a5","g__Paenibacillus","g__Pantoea","g__Parabacteroides","g__Paracoccus","g__Paraprevotella","g__Parvimonas","g__Paucibacter","g__Pediococcus","g__Pedobacter","g__Peptococcus","g__Peptoniphilus","g__Peptostreptococcus","g__ph2","g__Phascolarctobacterium","g__Planomicrobium","g__Porphyromonas","g__Prevotella","g__Proteus","g__PSB-M-3","g__Pseudobutyrivibrio","g__Pseudomonas","g__Pseudoramibacter_Eubacterium","g__Psychrobacter","g__Pyramidobacter","g__Ralstonia","g__rc4-4","g__RFN20","g__Rhizobium","g__Rhodoplanes","g__Roseburia","g__Roseomonas","g__Rothia","g__Rubellimicrobium","g__Ruminococcus","g__Salinicoccus","g__Salmonella","g__Scardovia","g__Schwartzia","g__Sedimentibacter","g__Sediminibacterium","g__Selenomonas","g__Serratia","g__Sharpea","g__Shewanella","g__Shuttleworthia","g__Slackia","g__SMB53","g__Sneathia","g__Sphaerochaeta","g__Sphingobacterium","g__Sphingobium","g__Sphingomonas","g__Sphingopyxis","g__Sporosarcina","g__Staphylococcus","g__Stenotrophomonas","g__Streptococcus","g__Succiniclasticum","g__Succinivibrio","g__Sutterella","g__Synergistes","g__TG5","g__Thermus","g__Trabulsiella","g__Treponema","g__Trichococcus","g__Truepera","g__Trueperella","g__Turicibacter","g__Unclassified","g__vadinCA11","g__Vagococcus","g__Varibaculum","g__Veillonella","g__WAL_1855D","g__Wautersiella","g__Weissella","g__YRC22"
1,3.00066014540242e-06,0,0.00088319430279852,0,0,0,0,0,0,0,2.00044009694095e-06,2.00044009694095e-06,0,3.00066014540242e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60167236838081e-05,0,0,0,0,0,0,0,0,0,0,0,0.1137040148835,8.0017603877598e-05,0.00286162955867803,0.000961211466579824,0,0,0,0,0,3.20070415511192e-05,8.0017603877598e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00132029082485e-06,1.30028606301172e-05,0,0,0.000156034327561406,0,0,0,0,0,0,0,2.00044009694095e-06,0,0,0,4.0008801938899e-06,0,0.000224049290857434,0,1.00022004846947e-06,0,0,0,0,0,0,0,0,0,0.0029516493630403,0,0,0,0,0,0,0.0011902618576785,0,0,0,0,0,6.20136430051435e-05,0,1.40030806785847e-05,0,0,0,0,0,0,0,0,2.00044009694095e-06,0.00504010882423703,1.00022004846947e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000477104963120046,0,0,0.00234051491341909,2.00044009694095e-06,0,0,0,0.000805177139019218,0,8.0017603877598e-06,0,0,0,0,0,0,0,0,0.00869191222121056,0,0,4.50099021811364e-05,0,0,0,5.00110024235738e-06,0,0,0,0,0,0,0,0,0.000304066894735233,0,0,0,0.000100022004846947,0,0,0,0,0,0,0,0,0,0,0,0,1.00022004846947e-06,0,0,0,0,0,0,0,0,0,1.00022004846947e-06,0,0,0.0191012022126172,0,0,0,0,0,0,0,0,6.00132029082485e-06,0.839824761497536,0,0,0,4.0008801938899e-06,0,0,0,0
2,1.6991566004958e-05,0,0.000724458586938841,0,0,0,0,0,0,0,3.08937563726691e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00809416421849e-05,0,0,0,0,0,0,0,0,0,0,0,0.127779665751075,3.55278198286195e-05,0.000481942599413639,0.00128672495292242,0,0,0,0,0,4.63406345589037e-06,4.63406345589037e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26812691180074e-06,2.47150050981353e-05,0,0,6.33322005639217e-05,1.54468781863346e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.000159102845319296,0,0,0,0,0,4.63406345589037e-06,0,0,0,0,0,0.000993234267381563,0,0,0,0,0,0,0.00660354046227357,0,0,0,0,0,1.54468781863346e-05,0,0,0,0,0,0,0,0,0,0,3.08937563726691e-06,0.00253328802254887,0,1.54468781863346e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01618832843699e-05,0,0,0.000213166918970917,0,0,0,0,0.00175785473760437,0,0,0,0,0,0,0,0,0,0,0.00822082857077076,0,0,1.08128147304242e-05,0,0,0,3.08937563726691e-06,0,0,0,0,0,0,0,0,0.000239426611888436,0,0,0,1.85362538236015e-05,0,0,0,0,0,0,0,0,0,0,0,0,9.26812691180074e-06,0,0,0,0,0,0,0,0,0,5.71534492893879e-05,0,0,0.0285597329961443,0,0,0,0,0,0,0,0,0,0.820096388541919,0,0,0,3.08937563726691e-06,0,0,0,0
4,0.000559029478722712,0,0.00291617439416037,0,3.8901535890433e-05,0,0,0,0,0,1.15263810045794e-05,2.88159525114985e-06,0,7.20398812786463e-06,0,0,5.76319050229971e-06,0,0,0,0,0,0,0,0,2.88159525114985e-06,0,0.00119730282685219,0,0,0,0,0,0,0,0,0,0,0,0.0988891450257454,0.000505719966575829,6.77174884019316e-05,0.00388006800567357,0,0,0,1.44079762557293e-06,0,1.44079762557293e-06,1.87303691324641e-05,0,5.76319050229971e-06,0,0,0,0,0,0,0,0,0,0,2.88159525114985e-06,0,0,4.32239287671478e-06,0.000178658905571011,0,2.0171166758069e-05,0.00130968504164638,7.20398812786463e-06,0,0,0,0,0,0,0,5.76319050229971e-05,0,0,5.04279168950724e-05,0,0.000884649742102425,0,7.20398812786463e-06,0,0,0,5.76319050229971e-06,0,0,0,0,0,0.0031279716451248,1.44079762557293e-06,2.88159525114985e-06,0,0,0,0,0.000220442036713054,0,0,0,0,0,9.07702504112104e-05,0,5.18687145205774e-05,0,0,0,0,8.64478575344956e-06,0,0,0,0,0.0122554246031345,5.76319050229971e-06,1.44079762557293e-06,0,0,0,0,0,0,0,0,0,0,1.44079762557293e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44079762557293e-05,0,0,0.0005849638359826,1.44079762557293e-06,0,0,0,0.000335705846759448,0,1.44079762557293e-06,0,0,0,0,0,3.02567501370035e-05,0,1.44079762557293e-06,0.00241621761809496,0,0.00020171166758069,5.61911073972921e-05,1.44079762557293e-06,0,0,0,0,0,1.44079762557293e-06,0,0,0,0,0,0.000474022418813521,0,0,0,0.000504279168950724,0,0,0,0,0,1.44079762557293e-06,0,0,0,0,0,0,1.44079762557293e-06,0,0,0,0,2.88159525114985e-06,0,0,0,0,8.21254646577809e-05,0,0,0.0171282021728234,0,0,0,0,0,0,0,0,0,0.851718871571939,0,0,0,2.44935596347838e-05,7.20398812786463e-06,0,0,0
6,8.93129283997124e-05,0,0.00145310716840846,0,0,0,0,0,1.41766553015372e-06,0,2.83533106029944e-06,0,0,9.21482594599318e-05,0,0,2.97709761333041e-05,0,0,0,0,0,0,0,0,0,0,0.00291188499894297,0,0,0,0,0,0,0,0,2.83533106029944e-06,0,1.41766553015372e-06,0.0597432606985289,0.000705997434015841,0.000521700915095577,0.00433947418779425,0,0,0,0,1.41766553015372e-06,1.70119863618366e-05,2.83533106029944e-05,0,0,0,1.41766553015372e-06,0,0,0,0,0,0,0,0,5.67066212061888e-06,0,0,0,0.000191384846570812,0,0,0.00030338042345308,1.41766553015372e-06,0,0,0,0,0,0,0,7.37186075679054e-05,0,2.83533106029944e-06,1.27589897713875e-05,0,0.000776880710523327,0,1.41766553015372e-06,0,0,0,4.53652969649111e-05,0,0,0,0,0,0.0109259482408864,0,0,1.41766553015372e-06,0,0,0,0.000243838471185672,0,0,0,0,0,0.000375681365491076,0,1.13413242412378e-05,0,0,0,0,0,0,4.25299659046916e-06,0,0,0.013639360065618,4.11123003743819e-05,0.000172955194678786,0,0,0,0,0,0,0,0,0,0,2.83533106029944e-06,7.0883276507686e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.83533106029944e-06,0,0,0,0,0,0,0,0.000117666239002707,0,2.83533106029944e-06,0.000352998717008921,4.25299659046916e-06,0,0,0,0.000615266840087219,0,1.41766553015372e-06,0,0,0,0,0,0,0,0,0.00472366154646639,0,0,6.80479454474666e-05,0,0,0,1.41766553015372e-06,0,0,0,0,0,0,0,0,0.000236750143535123,0,2.97709761333041e-05,0,0.000192802512100922,0,0,0,0,0,0,0,2.83533106029944e-06,0,0,0,0,0,0,0,0,0,8.50599318091832e-06,0,0,0,1.41766553015372e-06,0.000120501570063126,0,0,0.0365842767569009,0,0,0,5.67066212061888e-06,0,0,0,0,0.000109160245821848,0.860015452543492,0,0,0,1.84296518920064e-05,0,0,0,0
7,5.38492962522473e-05,0,0.00226538418716861,0,0,0,0,0,2.04255951302317e-05,0,2.59962119837677e-05,0,0,9.28436142277988e-06,0,0,0,3.71374456912395e-06,0,0,0,0,0,0,0,0,0,9.28436142277988e-06,0,0,0,0,0,0,0,0,0,0,0,0.0404686746343224,0.000176402867033038,0.000482786793985114,0.0041241133439943,0,0,0,2.41393396992557e-05,0,9.28436142277988e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04255951302317e-05,0,0,1.11412337073379e-05,4.27080625447754e-05,0,2.22824674147437e-05,0.001147547071856,0,0,0,0,0,0,0,0,1.85687228455798e-05,0,0,3.71374456912395e-06,0,0.00042336688087833,0,0,0,0,7.4274891382279e-06,3.52805734065275e-05,0,5.57061685367593e-06,0,0,0,0.00186987039054996,0,0,0,0,0,0,0.00739220856482738,0,0,0,0,0,1.67118505610278e-05,0,2.22824674147437e-05,0,0,0,0,0,0,3.71374456912395e-06,0,1.85687228455798e-06,0.0224328739826695,1.85687228455798e-06,0,0,0,0,0,0,0,0,0,0,1.85687228455798e-06,5.57061685367593e-06,0,0,0,0,1.85687228455798e-06,0,0,0,0,0,0,0,5.57061685367593e-06,1.67118505610278e-05,0,0,0,0,0,0,0,7.4274891382279e-06,0,1.29981059919038e-05,6.31336576750072e-05,0,0,0,0,0.000328666307762196,0,5.57061685367593e-06,3.71374456912395e-06,0,0,0,0,0,5.57061685367593e-06,0,0.000462361198854282,0,0,7.05611468132551e-05,0,0,0,3.71374456912395e-06,0,0,0,0,0,0,0,0,4.45649348292874e-05,0,4.82786793985114e-05,0,0.000191257845309534,0,0,0,0,0,1.85687228455798e-06,0,7.4274891382279e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000584914769635272,0,0,0.0295428380303566,0,0,0,2.41393396992557e-05,0,0,0,0,1.11412337073519e-05,0.887295279942446,0,0,0,0.000100271103366047,0,0,0,0
9,1.34301583790698e-05,0,0.000128545801628294,0,0,0,2.11045345956154e-05,0,0,0,1.9185940541534e-06,0,0,1.9185940541534e-06,5.7557821624642e-06,0,0,0,0,0,0,0,0,0,0,0,0,7.6743762166056e-06,0,0,0,0,0,0,0,0,0,0,1.9185940541534e-06,0.0120928983233364,0.00020528956379455,0,0.000312730830827828,0,0,0,0,1.9185940541534e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,9.592970270767e-06,0.00114923783843764,0,0,5.7557821624562e-06,1.53487524332312e-05,0,1.9185940541534e-06,1.15115643249284e-05,0,0,0,1.72673464873726e-05,0,0,0,0,3.8371881083028e-06,0,0,7.6743762166056e-06,0,3.64532870288266e-05,0,3.8371881083028e-05,0,0,2.30231286498168e-05,0.00318486612989432,0,2.30231286498168e-05,3.8371881083028e-06,0,0,0.000136220177844899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8371881083028e-06,0,1.9185940541534e-06,0,0,0,0,1.34301583790698e-05,0,0,3.64532870288266e-05,0,0.00212580218459463,0,0,0,3.8371881083028e-06,0,0,0,0,0,0,0,0,0,0,9.592970270767e-06,1.9185940541534e-06,0,0,0,0,0,0,0,5.7557821624642e-06,0,0,0,0,0,0,1.9185940541534e-06,0,0,0,7.6743762166056e-06,7.6743762166056e-06,0,0,0,0,3.64532870288266e-05,0,0,0,0,0,0,0,3.8371881083028e-06,1.9185940541534e-06,0,0.00746908669822192,0,0,1.72673464873726e-05,0,0,0,1.34301583790698e-05,0,0,0,0,0,0,0,0,7.6743762166056e-06,0,0,0,2.68603167582196e-05,0,5.7557821624642e-06,0,0,0,1.9185940541534e-06,0,7.6743762166056e-06,0,0,0,0,0,0,0,0,0,3.8371881083028e-06,5.7557821624642e-06,0,0,0,0.00100726192483163,0,0,0.000101685484870074,0,0,0,7.48251681120546e-05,0,5.7557821624642e-06,0,0,0,0.971518471201689,0,1.9185940541534e-06,0,5.7557821624642e-06,0,0,0,0
11,4.45705974787109e-05,0,0.00524760138690167,0,0,0,0,0,0,0,4.69164183987693e-05,2.34582091993847e-06,0,0,0,0,4.69164183987693e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27204485180125e-05,0.000145440897036025,0.0357198151657405,7.0374627598154e-06,0.0879096390083876,0,0,0,9.38328367975387e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62997020784032e-05,0.000110253583236948,0,0,0.0109760960843774,4.69164183987693e-06,0,0,0,0,0,0,0,7.0374627598154e-06,0,0,2.34582091993847e-06,0,0.00429050646256074,0,4.69164183987693e-05,0,0,0,2.11123882795262e-05,0,0,0,0,0,0.000187665673594877,0,2.34582091993847e-06,0,0,0,0,0,0,0,0,0,0,4.69164183987693e-06,0,0,0,0,0,0,0,0,0,0,0,4.69164183987693e-06,9.85244786372556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34582091993847e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.17291045996923e-05,0,0,0,0,1.17291045996923e-05,0,0,2.34582091993847e-06,0,3.28414928790185e-05,0,0,1.17291045996923e-05,4.69164183987693e-06,0,1.17291045996923e-05,0,0,3.5187313799077e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34582091993847e-06,0,1.64207464395493e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34582091993847e-06,0,0,0,0,0.0028525182386463,0,0,0,0,0,0,0,0,0,0,0,0,0.851971662448614,0,0,0,2.34582091993847e-06,4.69164183987693e-06,0,0,0
12,0.00346310461614961,0,0.00992883510281317,0,0,0,0,0,2.09308520757306e-05,0,5.32785325563325e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51402367075938e-06,0,1.90280473415188e-06,0,0,0,0,0,0,0,0,0,0,3.80560946830375e-06,0.000723065798978513,0.000471895574070145,0.00109982113634006,0.0397191460337899,0,0,0,1.14168284049113e-05,0,1.90280473415188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14168284049113e-05,0,0,2.09308520757306e-05,0.000173155230807881,0,5.70841420245563e-06,0.000960916390745997,3.80560946830375e-06,0,0,0,0,0,0,0,1.90280473415188e-06,0,0,1.90280473415188e-06,0,0.00196750009511388,0,3.23476804806019e-05,0,0,1.90280473415188e-06,5.51813372903444e-05,0,1.90280473415188e-06,5.70841420245563e-06,0,0,6.46953609612038e-05,0,7.6112189366075e-06,0,0,0,0,3.80560946830375e-05,0,1.90280473415188e-06,0,0,0,7.6112189366075e-06,0,0,0,0,0,0,0,0,0,0,0,6.85009704294275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90280473415188e-06,0,0,0,0,0,0,0,1.90280473415188e-06,9.51402367075938e-06,0,0,0,0,0,0,0,0,0,0,0,3.80560946830375e-06,0,0,0,0,1.14168284049113e-05,0,0,5.70841420245563e-06,0,0,0,0,5.70841420245563e-06,1.14168284049113e-05,0,3.23476804806019e-05,0,0,2.09308520757306e-05,0,0,0,1.90280473415188e-06,0,0,0,0,0,0,3.80560946830375e-06,0,1.90280473415188e-06,0,5.70841420245563e-06,0,9.51402367075938e-06,0,1.90280473415188e-06,0,0,0,7.6112189366075e-06,0,1.33196331390631e-05,0,0,0,0,0,0,0,0,0,7.6112189366075e-06,0,0,0,0,0.00504814095969671,0,0,3.23476804806019e-05,1.90280473415188e-06,0,0,1.90280473415188e-06,0,0,0,0,0.0056075655515498,0.930205122338206,0,3.80560946830375e-06,0,0,0,0,0,0
13,1.39622147539285e-05,0,0.00109603385818472,0,0,0,0,0,0,0,5.23583053273068e-06,0,0,0,0,0,3.83960905733983e-05,0,0,0,0,0,0,0,0,0,0,2.09433221309627e-05,3.49055368848712e-05,0,0,0,0,0,0,0,0,0,0,0.108783105801387,0.00200706837088309,0.00137178759957356,0.00301583838684663,0,0,0,5.23583053273068e-06,0,2.79244295078169e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22169379096849e-05,0,0,1.04716610654414e-05,0.000141367424383548,0,0,0.000541035821715703,0,0,0,0,0,0,0,0,0,0,0,1.91980452866591e-05,0,0.000160565469670247,0,2.79244295078169e-05,0,0,6.98110737697424e-06,8.7263842212178e-06,0,0,1.74527684424156e-06,0,0,0.00107858108974208,0,0,0,0,0,0,0.000221650159218272,0,0,0,0,1.74527684424156e-06,2.44338758192898e-05,0,2.44338758192898e-05,0,0,0,0,0,0,0,0,0,0.00216065273316148,0,1.04716610654414e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214669051841618,0,3.49055368848712e-06,0.001685937431537,1.04716610654414e-05,0,0,0,0.00134037261637761,0,0,0,0,0,0,0,0,0,0,0.0117841092523203,0,0,0.000129150486473903,0,0,0,1.74527684424156e-06,0,0,0,0,0,0,0,0,2.61791526635534e-05,0,0,0,0.000410140058395936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216414328686281,0,0,0.0250534491695444,0,0,0,5.23583053273068e-06,0,0,0,0,8.7263842212178e-06,0.838230289136987,0,0,0,6.98110737697424e-06,0,0,0,0
14,4.5051809579843e-05,0,0.0030585172948227,0,5.00575661998701e-06,0,0,3.33717107999134e-06,1.66858553999767e-06,0,6.67434215998268e-06,0,0,0,0,0,4.33832240399674e-05,0,0,0,0,0,0,0,0,3.33717107999134e-06,0,0.000116800987799897,0,0,0,0,0,0,0,0,0,0,3.33717107999134e-06,0.100028365896907,0.00469373112401686,0.0014883783016775,0.0110126645639794,0,0,0,1.66858553999767e-06,0,1.33486843199854e-05,0,0,3.33717107999134e-06,0,6.67434215998268e-06,0,0,0,0,0,0,0,5.00575661998701e-06,8.34292769997834e-06,0,0,1.66858553999767e-06,0.000191887337099702,0,0,0.00136156580063775,0,0,0,0,0,0,0,0,0,0,0,6.67434215998268e-06,0,0.00038544325973948,0,5.00575661998701e-06,0,0,0,6.67434215998268e-06,0,0,0,0,0,0.000749194907457975,0,6.67434215998268e-06,0,0,0,0,0.00194723932517631,0,0,0,0,0,3.33717107999134e-06,0,0,0,0,0,0,0,0,0,0,0,0.00160351070393672,4.17146384998917e-05,2.5028783099935e-05,0,0,0,0,0,0,0,0,0,0,1.66858553999767e-06,6.67434215998268e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00575661998701e-05,0,0,6.67434215998267e-05,6.67434215998268e-06,0,0,0,0.00149338405829772,0,3.33717107999134e-06,0,0,0,0,0,5.00575661998701e-06,0,0,0.0136089836642252,0,8.34292769997834e-06,0.000180207238319772,0,0,0,1.66858553999767e-06,0,0,0,0,0,0,0,0,6.50748360599511e-05,0,0,0,0.000103452303479891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00230598521628058,0,0,0.0265855734874887,0,0,0,1.0011513239974e-05,0,0,0,0,5.00575661998701e-06,0.828591213208818,0,0,0,1.66858553999767e-05,0,0,0,0
