time,Actinomyces,Schaalia,Bifidobacterium,Rothia,Nocardiopsis,GGB9358,Olsenella,Collinsella,Adlercreutzia,Eggerthella,GGB9365,Gordonibacter,Bacteria_unclassified,Bacteroides,Phocaeicola,Barnesiella,Coprobacter,Butyricimonas,Odoribacter,Leyella,Paraprevotella,Segatella,Alistipes,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Gemella,Macrococcoides,Staphylococcus,Granulicatella,Enterococcus,Vagococcus,Lacticaseibacillus,Lactiplantibacillus,Lactobacillus,Leuconostoc,Limosilactobacillus,Weissella,Lactococcus,Streptococcus,Negativibacillus,GGB2653,GGB51129,GGB3109,GGB3304,GGB3363,GGB115571,GGB143928,GGB4552,GGB4566,GGB4584,GGB4605,GGB9062,GGB9088,GGB9189,GGB101111,GGB9290,GGB9534,GGB52130,GGB9559,GGB9715,GGB9747,GGB51884,GGB9790,GGB13404,GGB9499,GGB3612,GGB9758,GGB3653,Guopingia,GGB79395,Acutalibacter,Anaeromassilibacillus,GGB9760,Agathobaculum,Clostridiaceae_unclassified,Clostridium,GGB3550,Lactonifactor,Pilosibacter,Eubacterium,GGB3267,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,GGB2980,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Evtepia,Flintibacter,Gemmiger,Intestinimonas,Bittarella_ex_Durand_et_al_2017,Brotocaccenecus,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB13493,GGB9237,GGB9469,GGB9602,GGB9619,GGB9621,GGB9634,GGB9646,GGB9667,GGB9699,GGB9708,GGB9730,Hominenteromicrobium,Hominilimicola,Hydrogenoanaerobacterium,Lawsonibacter,Massiliimalia,Merdimmobilis,Neobittarella_ex_Bilen_et_al_2018,Neopoerus,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Yanshouia,Anaerotignum,GGB3819,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Brotaphodocola,Butyribacter,Coprococcus,Diplocloster,Dorea,Eisenbergiella,Enterocloster,Faecalicatena,Fusicatenibacter,GGB33858,GGB3444,GGB3593,GGB3828,GGB42666,GGB49409,GGB51441,GGB51512,GGB74412,GGB74505,Gallintestinimicrobium,Hominiventricola,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Oribacterium,Roseburia,Simiaoa,Waltera,Wansuia,Wujia,Monoglobus,Emergencia,Mogibacterium,GGB4456,Intestinibacter,Peptostreptococcus,Romboutsia,Faecalibacillus,Erysipelotrichaceae_unclassified,Faecalicoccus,Holdemanella,Holdemania,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Allisonella,Dialister,Megasphaera,Veillonella,Parvimonas,Fusobacterium,Agrobacterium,Oxalobacter,Mesosutterella,Parasutterella,Sutterella,GGB6606,Citrobacter,Cronobacter,Enterobacter,Escherichia,Klebsiella,Raoultella,Haemophilus,Pyramidobacter,Bilophila,GGB9813,Akkermansia,Saccharomyces
2,0.00107,0,0.56052,0,0,0.1465,0,0.20985,0.41387,0,0,0.00379,0.19314,5.21829,15.45989,0.43151,0.11497,0.18229,0.57641,0.00089,0.83081,0.00088,2.98967,0.18452,0,0,0,0,0,0,0,0,0,0,0.00306,0,0,0,0.23099,0.04969,0.04642,0.0454,0.0236,0.01583,0.09151,0.07093,0.23581,0.08624,0.01096,0.31047,0.00032,0.03236,0.0639,0.00236,0,0.01006,0.01447,0.00749,0.01474,1.30047,0.05799,0.0712,0.02313,0.01343,0,0.00425,0.42162,0.92992,0,0.00924,0,0,0.04079,0.45863,0.24118,1.97988,0.00263,0.00035,0.29204,2.01349,0.66656,0,0.00487,0.00736,0.0402,0.10742,0.3676,0.12916,0.03137,0.13426,0,0,1.77919,6.10107,0.05918,0.00209,0.00646,0,0.18248,0.008,0.00307,0.14384,0.0343,0.04526,0.07793,0.05368,0.04005,0.0495,0.96303,0.04019,0.03264,0,0.00452,0,0.05855,1.63454,0.20775,0,0.0284,4.88463,0.01344,0.17673,0,0.1304,0.01652,3.60539,1.06947,0.45255,0.43004,4.14581,0.10886,1.21351,2.63523,0,1.18877,0,0.01128,0.02161,1.21071,0.00412,0.01846,0.0205,0.02432,0,5e-04,0.02923,0.0017,1.69526,0,0.1633,0.08377,1.46502,0.59733,0.56049,0.14362,0,13.96935,0.57017,2.18932,0.00652,2.28577,0.00465,0.00127,0,0.00833,0.0388,0,0.16938,0.28385,0,0.00468,0,0,0,0.0033,0,0.19612,2.04453,0.09714,0.80085,0.14581,0.00017,0,0,0,0.00941,0.12413,0.18177,0.00654,0,0,0,0,0.10641,0,0,0.00423,0.00486,0.15056,0.67927,0,0
3,0.00331,0,0.42887,0.00033,0,0.36201,0,0.24173,0.47417,0,0,0.00753,0.14162,7.12337,17.80576,0.49975,0.31286,0.24448,0.57768,0.00195,0.85337,0.01536,3.92974,0.25126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10403,0.08357,0.01512,0.06692,0.01421,0.00465,0.07372,0.13134,0.18357,0.16534,0.01478,0.56418,0.00377,0.00239,0.0108,0.0024,0,0.00726,0,0.00591,0.00548,1.22222,0.05254,0.06459,0.00957,0.00268,0.00226,0,0.43554,1.07778,0,0.00275,0,0,0.04102,0.88811,0.46536,2.33514,0.00368,0,0.4256,0.66035,0.95937,0,0.00517,0.00704,0.04256,0.06614,0.47551,0.13677,0.03273,0.10566,0,0,2.08454,5.90203,0.06884,0,0.00096,0,0.05284,0.01328,0.00427,0.24216,0.03529,0.04239,0.05651,0.04274,0.01336,0.05985,1.52895,0.03567,0.02165,0,0.01371,0,0.06676,2.00898,0.24403,0.00047,0.02932,3.11816,0.0433,0.1455,0,0.2478,0.01053,1.83994,1.50589,0.65605,0.54217,4.63321,0.13071,1.43987,3.48853,0,1.35801,0,0.01996,0.04383,1.28176,0.00195,0.01396,0.02324,0.04665,0.00058,0.00274,0.03064,0.00639,1.28267,0,0.09078,0.08765,1.49609,0.27709,0.63292,0.20701,0,8.94907,0.22205,1.17138,0.00748,1.85443,0.01888,0,0,0,0,0,0.12331,0.27992,0,0.00519,0,0.00291,0,0,0,0.46466,2.02121,0.09315,0.71741,0.16455,0,0,0.00651,0,0,0.22986,0.53393,0.0015,0,0,0,0.00615,0.09777,0.04648,0,0,0.00099,0.33704,1.11532,0,0
4,0.00088,0,0.21975,0,0,0.05944,0,0.20832,0.26166,0,0,0,0.09869,6.1986,23.05353,0.22712,0.12261,0.07323,0.18574,0.01075,1.10074,0.02923,0.99265,0.35739,0,0,0,0,0.00484,0.04228,0,0,0,0,0.00217,0.00176,0.00629,0.00157,0.1638,0.09839,0.00661,0.0099,0.02089,0,0.04562,0.08691,0.06736,0.0893,0.00681,0.44141,0.00754,0,0,0,0,0,0,0,0,0.18252,0.002,0.01329,0.00476,0,0,0,0.11364,0.08081,0,0.00658,0,0,0.0263,0.42881,0.45662,2.59275,0.00464,0,0.43884,2.30612,0.42667,0,0,0,0.00107,0.13931,0.18761,0.05321,0.08124,0.00845,0,0,0.81968,5.19139,0.01542,0,0,0,0.03297,0.00716,0,0.03268,0.00327,0,0.00941,0.00404,0.0178,0.03488,0.49151,0.03021,0,0,0.00257,0,0.03461,0.7938,0.0575,0,0.00636,2.38358,0.00275,0.03386,0,0.20067,0.00674,2.87915,1.01532,0.856,0.67318,6.27796,0.30391,0.58891,1.42933,0,1.30172,0,0.00127,0.08004,1.72733,0.00064,0.00508,0.0531,0.03435,0,0,0.02377,0.0046,1.13568,0,0.10099,0.07986,1.16888,0.33056,0.87419,0.36147,0,10.13937,0.19139,0.98488,0,0.6183,0.01992,0,0,0,0,0,0.12743,0.73043,0,0.00192,0,0.00047,0,0,0,0.46002,11.24546,0.07654,0.32081,0.28719,0.00046,0,0,0,0,0.23599,0.49946,0.00015,0,0,0,0.02154,0.02415,0.00256,0,0,0,0.1156,0.51683,0,0
5,0,0,0.1066,0,0,0.10512,0,0.17501,0.63374,0,0,0.00437,0.10791,7.41878,23.01506,0.24988,0.11317,0.17561,0.38841,0.0048,1.64152,0.0071,1.34467,0.52217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01482,0.10596,0.0078,0.00889,0.01788,0,0.11934,0.10567,0.02973,0.08171,0.01138,0.11514,0.00527,0.00124,0,0,0,0,0,0.00464,0,0.19398,0.00239,0.00433,0,0,0,0,0.08063,0.01225,0,0.02743,0,0,0.02745,0.28716,0.52164,1.96571,0.02075,0,0.2787,3.08312,0.66336,0,0,0,0.00254,0.15801,0.22574,0.07646,0.10812,0.0165,0.00044,0,0.85686,4.80837,0.04342,0,0.0021,0,0.02655,0.03074,0.01018,0.01259,0.0014,0,0.00254,0.00375,0.04559,0.04633,0.41989,0.04696,0.01879,0,0.01548,0.00165,0.06328,0.65178,0.14454,0.00075,0.01469,3.22976,0.00908,0.02439,0,0.12873,0.03676,4.25534,0.77807,0.65761,0.37848,3.49703,0.34058,0.4289,1.52239,0,0.93972,0,0.01425,0.05412,1.08173,0.00159,0.00402,0.02583,0.02972,0,0.00041,0.01744,0.01034,1.24859,0.00093,0.08665,0.13202,1.46981,0.24213,0.67377,0.37764,0,8.2899,0.21677,1.38878,0.00111,0.81528,0.0126,0,0,0,0,0,0.05284,0.46629,0,0.00119,0,0.00414,0,0,0,0.41256,13.09018,0.04479,0.10607,0.30497,0,0,0,0,0,0.35265,0.32305,0.00034,0,0,0,0,0.02258,0,0,0.00342,0,0.3205,0.40383,0,0
6,0,0,0.15854,0,0,0.03711,0,0.26315,0.07616,0,0,0.01372,0.02828,5.88729,31.06025,0.22714,0.16496,0.07879,0.23318,0,0.63628,0,1.47311,0.32873,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0.42175,0.11229,0.00143,0.00527,0.02133,0,0.1584,0.17351,0.10817,0.09274,0.02913,0.42356,0.01745,0.0017,0,0,0,0,0,0.00054,0.00472,0.55412,0.00276,0.01858,0.00874,0.0013,0,0,0.21169,0.09944,0,0.00204,0,0,0.04078,0.50055,0.41038,1.40272,0.02286,0,0.54648,0.47941,0.76208,0,0,0,0,0.15309,0.16548,0.03886,0.10418,0.00378,0,0,0.68937,5.20272,0.01097,0,0,0,0.00924,0.00333,0,0.03911,0.00319,0,0.00629,0.00484,0.02034,0.05242,0.82208,0.02761,0.00345,0,0.00231,0,0.02274,0.54995,0.162,0,0.00133,3.41382,0.00348,0.05812,0,0.14746,0.0059,2.56592,1.11691,1.05051,0.65764,3.77924,0.19619,0.99474,1.79768,0,1.14562,0,0.005,0.05907,2.71061,0.00055,0,0.02898,0.02455,0,0,0.03117,0.00398,0.78953,0,0.04817,0.08006,1.98794,0.29824,0.76919,0.47887,0,5.95053,0.18061,1.02397,0,0.61314,0.17886,0,0,0,0,0,0.17323,0.38399,0,0,0,0.00123,0,0,0,0.13836,9.70944,0.09523,0.11258,0.59456,0.00019,0,0,0,0,0.34051,0.40113,0,0,0,0,0,0.01183,0,0,0.00582,0,0.11708,0.31461,0,0
7,0,0,0.12089,0,0,0.17327,0,0.16889,0.35759,0,0,0.00219,0.13582,7.26568,23.90179,0.40959,0.16574,0.27298,0.51022,0.00633,1.29017,0.03501,2.1347,0.36834,0,0,0,0,0,0.02,0.00903,0,0,0,0,0,0,0,0.20164,0.131,0.04105,0.02563,0.0214,0,0.22009,0.30178,0.09628,0.12178,0.01944,0.50867,0.02457,0.00768,0.01174,0.00276,0,0.00036,0,0.00621,0.00092,0.33067,0.03634,0.06829,0.03021,0.00275,0,0,0.38926,0.08503,0,0.0091,0,0,0.0326,0.3015,0.37117,1.72134,0.03275,0,0.37458,3.80064,0.66548,0.00069,0,0.00104,0.00747,0.11162,0.28394,0.07834,0.10799,0.05694,0,0,1.4665,4.44654,0.03648,0,0.00727,0,0.05017,0.01214,0.00358,0.07633,0.00706,0,0.03695,0.00774,0.01357,0.03804,0.46689,0.03281,0.02388,0,0.0076,0.00026,0.09394,1.98067,0.12445,0,0.01316,3.088,0.00725,0.16057,0,0.22855,0.02466,1.49725,1.20042,1.75669,0.49465,3.68285,0.17637,0.15095,1.92469,0,1.36155,0,0.00616,0.08739,1.6518,0.00454,0.01279,0.02165,0.0297,0,0,0.01426,0.00322,0.92724,0,0.06028,0.10293,1.64054,0.48185,0.71233,0.32984,0,9.18628,0.36639,1.71766,0.00053,1.73959,0.07148,0,0,0,0,0,0.01537,0.63486,0,0,0,0.00161,0,0,0,0.38481,5.03241,0.05067,0.38741,0.22422,0.08573,0,0,0,0,0.12994,0.22687,0.00188,0,0,0,0.10597,0.02287,0.07495,0,0.01543,0,0.19745,0.54762,0,0
8,0.00158,0.00057,0.1242,0,0,0.25035,0,0.19771,0.65607,0,0,0.00388,0.11479,7.37064,22.62407,0.31404,0.17895,0.22128,0.59486,0,0.96005,0.01132,2.40682,0.33324,0,0,0,0.0015,0.00159,0.00621,0.00044,0,0,0,0,0,0,0,0.18565,0.08378,0.02342,0.02851,0.01551,0,0.23344,0.26853,0.08091,0.11117,0.00476,0.28673,0.01327,0.0082,0.01532,0,0,0.0018,0,0.00748,0.00067,0.61631,0.07437,0.04743,0.01591,0.0036,0,0,0.24127,0.09388,0,0.00426,0,0,0.03058,0.42073,0.26645,2.25342,0.02193,0,0.29238,1.80025,0.65181,0.001,0.00036,0.00801,0.01098,0.15462,0.28629,0.05064,0.13786,0.10207,0.00048,0,1.93294,5.00239,0.02845,0,0.0026,0,0.06812,0.00997,0.00291,0.06201,0.00526,0.00143,0.05673,0.01705,0.03066,0.02973,0.97123,0.03029,0.03425,0,0.00702,0.00058,0.08366,2.25628,0.08156,0,0.02491,4.16753,0.01006,0.09623,0.00119,0.24965,0.0445,2.65619,1.04863,1.26229,0.28585,3.65504,0.11745,0.19522,1.63179,0.00048,1.17873,0.00032,0.00696,0.06239,1.25229,0.00268,0.00619,0.02253,0.02753,0,0,0.01617,0.00323,0.46791,0,0.07223,0.0692,0.98059,0.44016,0.57591,0.24887,0,11.64744,0.47928,1.71488,0.00245,2.08265,0.05207,0.00267,0,0,0,0,0.03133,0.38218,0.00087,0,0,6e-04,0,0,0,0.63116,4.27441,0.10068,0.27778,0.14095,0.00396,0,0,0,0.00458,0.12285,0.21391,0,0,0,0,0.02035,0.00854,0.10667,0,0.00206,0,0.21782,0.55169,0,0
9,0.00024,0,0.25181,0,0,0.07964,0,0.2191,0.33208,3e-04,0,0.00969,0.07146,8.60665,30.11901,0.4294,0.10261,0.07817,0.39216,0,0.68575,0.01068,2.96597,0.31327,0,0,0,0,0,0,0,0,0.00503,0.06375,0,0,0,0,0.65743,0.00641,0.00136,0.02734,0.0012,0,0.13164,0.04537,0.01166,0.05784,0,0.12883,0.00312,0,0,0.00027,0,0.00028,0,0.0099,0.00107,0.32944,0.01374,0.03648,0.01525,0.00322,0,0,0.11127,0.5026,0,0,0,0,0.03327,0.26051,0.0989,1.25938,0,0,0.15295,1.47642,0.44112,0,0,0,0.00821,0.14877,0.1736,0.07914,0.06291,0.03038,0,0,0.78422,3.64919,0.01944,0,0.00118,0,0.03721,0.00428,0.00165,0.02736,0.00565,0,0.01783,0.00404,0.01817,0.02898,0.34163,0.0145,0.01796,0,0,0,0.05986,1.29549,0.03099,0.00055,0.00316,4.65916,0.00104,0.05062,0,0.09746,0.01086,3.81512,0.69417,0.53202,0.21458,3.37357,0.06167,0.34115,1.7819,0,1.29942,0,0.00428,0.04989,1.18406,0,0.00064,0.01453,0.01723,0,0,0.01235,0.00317,0.24489,0,0.05218,0.06565,0.29899,0.48172,0.48481,0.17682,0,12.42452,0.28535,1.75797,0.00224,1.44995,0.00818,0,0,0.00141,0.02948,0,0.01589,0.33733,0,0.00039,0,0,0,0,0.00094,0.26427,4.44899,0.05554,0.26227,0.32278,0,0,0,0,0,0.19991,0.17254,0.00336,0,0,0,0,0.00445,0.00126,0,0.00031,0,0.1288,0.37651,0,0
10,0.01356,0.00305,0.19462,0,0,0.2602,0,0.23194,0.32399,0,0.0012,0.00276,0.07855,8.96146,29.88497,0.27449,0.09625,0.05841,0.27515,0.00612,0.59081,0.02001,1.37554,0.70374,0,0,0,0,0.00036,0.00233,0,0,0,0.00549,0,0,0,0.00405,0.52004,0.03595,0.00166,0.00917,0.05894,0,0.05253,0.10694,0.04681,0.1247,0,0.18051,0,0,0,0,0,0,0,0.00735,0,0.17496,0.0049,0.00769,0.00245,0,0,0,0.06016,0.0458,0,0,0,0,0.03183,0.36034,0.25112,2.47163,0.00635,0,0.64345,1.28584,0.33347,0.00336,0,0,0.00282,0.17356,0.22025,0.06834,0.06227,0.00534,0,0,0.68382,4.69863,0.03166,0,0,0,0.00597,0.0186,0.00088,0.01313,0.00044,0,0.0056,0,0.02049,0.03246,0.19486,0.02745,0.066,0,0.00012,0,0.06106,1.13845,0.16024,0,0.00413,0.92972,0.00158,0.04875,0,0.25296,0.00454,2.76958,0.68698,0.71419,0.2247,4.8617,0.29933,0.22989,1.39671,0,1.91252,0,0.00207,0.1528,1.3457,0.00042,0,0.02293,0.02933,0,0,0.01716,0.0044,0.4791,0,0.07776,0.10177,0.46039,0.26395,0.67727,0.33293,0,11.65257,0.07348,0.54251,0,0.3149,0.00251,0,0,0,0,0.00121,0.48499,0.39576,0,0.00021,0,0,0.00512,0,0,0.61849,6.6325,0.20057,0.47107,0.26745,0.00396,0,0.00129,0,0,0.64521,0.84515,0,0,0,0,0,0.03497,0.00192,0,0.007,0,0.22284,0.3797,0,0
11,0,0,0.07591,0,0,0.20114,0,0.23827,0.36806,0,0,0,0.06363,7.70544,32.50259,0.22466,0.0586,0.04051,0.18801,0.00012,0.66902,0.01166,0.9141,0.55694,0,0,0,0,0,0.032,0,0,0,0,0.02689,0,0.01409,0.76494,0.23832,0.11074,0,0.00487,0.0251,0,0.13432,0.05914,0.01072,0.09933,0,0.09455,0,0,0,0,0,0,0,0,0,0.12555,0,0,0,0,0,0,0.02454,0.00786,0,0.01368,0,0,0.01016,0.46006,0.37945,2.30834,0.02783,0,0.35666,1.5064,0.33437,0.00236,0,0,0,0.19197,0.22344,0.05407,0.05079,0.00053,0,0,0.51044,3.70001,0.04604,0,0,0,0.00014,0.01448,0.00028,0,0,0,0.00064,0,0.00834,0.01747,0.2648,0.01623,0.01793,0,0.0028,0,0.03824,0.78503,0.0839,0,0.00122,0.98469,0.00025,0.01598,0,0.09595,0.00874,1.27673,1.27697,0.93416,0.20001,4.45599,0.24904,0.15096,1.92159,0,1.90362,0,0.00182,0.15432,0.85528,0,0,0.01944,0.02834,0,0,0.0172,0.00691,1.57828,0,0.07104,0.07662,0.89188,0.12249,0.67143,0.21744,0,7.91852,0.10103,0.6507,0,0.28764,0.00074,0,0,0,0,0,0.02163,0.64429,0,0,0,0,0,0,0,0.54603,12.09151,0.15395,0.30818,0.29763,0,0,0,0,0,0.20374,0.89429,0.00024,0,0,0,0,0.03429,0.05695,0,0,0,0.27822,0.30353,0,0
