time,Methanobrevibacter,Actinobaculum,Actinomyces,Schaalia,Alloscardovia,Bifidobacterium,Scardovia,Rothia,Nocardiopsis,Lancefieldella,Collinsella,Eggerthella,Enteroscipio,GGB45432,Gordonibacter,Raoultibacter,Bacteria_unclassified,Bacteroides,Jilunia,Phocaeicola,Coprobacter,Butyricimonas,Odoribacter,Leyella,Paraprevotella,Segatella,Alistipes,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Mammaliicoccus,Staphylococcus,Granulicatella,Enterococcus,Leuconostoc,Weissella,Lactococcus,Streptococcus,GGB2998,GGB9512,GGB2982,GGB3109,GGB3363,GGB3256,GGB41458,GGB9559,GGB9715,GGB58233,GGB55957,Acutalibacter,Hydrogeniiclostridium,Agathobaculum,Clostridiaceae_unclassified,Clostridium,Lactonifactor,Pilosibacter,Anaerofustis,Eubacteriaceae_unclassified,Eubacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Eubacteriales_unclassified,Evtepia,Flintibacter,Gemmiger,Intestinimonas,Allofournierella,Brotocaccenecus,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB9699,Hominenteromicrobium,Hominilimicola,Lawsonibacter,Massiliimalia,Merdimmobilis,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Coprococcus,Diplocloster,Dorea,Eisenbergiella,Enterocloster,Faecalicatena,Faecalimonas,Fusicatenibacter,GGB3429,GGB3444,GGB74412,Gallintestinimicrobium,Hominifimenecus,Hominiventricola,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Simiaoa,Waltera,Wansuia,Wujia,Mogibacterium,GGB4456,Intestinibacter,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Longicatena,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Dialister,Megasphaera,Veillonella,Fusobacterium,Oxalobacter,Parasutterella,Sutterella,GGB6606,Enterobacter,Escherichia,Klebsiella,Haemophilus,Bilophila,Akkermansia
2,0,0,0.0484,0.01433,0,2.07916,0,0,0,0,0.39801,0.44572,0,0,0,0,0.01856,30.54834,0.00014,12.6556,0.02108,0.00047,0.00032,0.00108,2.55082,0.00127,0.38993,1.18679,0.00615,0,0,0.00573,0,0,0.00762,0,0.198,0,0.00973,0,0,0,0.15682,0.05787,0.04384,0.00988,0,0,0,0,0.71381,0.23564,2.84425,0,0.02274,0,0,0.26477,0,0,0,0.42205,0.00335,0.00893,0,0,0,0,0,0.04106,3.75056,0.14101,0,0,0.23455,0.00266,0,0,0.01959,0,0.00111,0,0.59456,0,0,0.04484,0.00451,0.9376,7.10914,0.12947,9.18109,0.85493,0,2.28997,0,0.00983,0,0.0697,1.55251,0.00372,0,0.00186,0.00115,0,0.09549,0.00532,0,0,0.00763,0.89597,0,0.22959,0,0,0.06422,0,0.00027,0,0,0.00156,0,0.0022,0.44136,0,0,0,0,0,0,0,0,0.85159,0.02394,0,0,0.00048,2.45282,0,0.40782,12.04948,0,0,0.02775,0,0,0.09591,0
3,0,0,0.02048,0,0,1.46932,0,0,0,0,0.72051,0.50095,0,0,0,0,0,19.6508,0,16.27404,0,0,0,0.01543,2.5241,0.0537,0.08417,1.18743,0,0,0,0,0,0,0,0,0.03588,0,0,0,0,0,0.01778,0.09889,0.05876,0,0,0,0,0,2.14854,0.30432,3.46695,0,0.02752,0,0,1.1672,0,0,0,0.29279,0,0,0,0,0,0.00351,0,0.00151,4.6605,0.19068,0,0,0.21629,0,0,0,0.00565,0,0.00296,0,0.13173,0,0,0.00631,0.00573,1.78054,10.97314,0.14735,11.16344,1.45507,0,3.52725,0,0,0,0.39703,2.22881,0.00673,0,0.00248,0,0,0.1585,0.002,0,0,0.01719,1.96392,0,0.2186,0,0,0.2047,0,0,0,0,0.00918,0,0.02152,0.79863,0,0,0,0,0,0,0,0,0.81892,0.00805,0,0,0.00175,2.98158,0,0.18634,4.8307,0,0.00462,0.65059,0.01286,0,0.08412,0
4,0,0,0.02045,0.01225,0,2.55691,0,0,0,0,0.39698,0.01049,0,0,0,0,0,23.46951,0,13.2515,0,0,0,0.01174,3.13007,0.00524,0.01125,0.33234,0,0,0,0,0,0,0.00049,0,0.27309,0,0,0,0.00279,0,0,0.17843,9e-04,0,0,0,0,0,1.03638,0.21748,3.90706,0,0.01087,0,0,0.34938,0,0,0,0.3916,0,0,0,0,0,0.00519,0,0,4.83103,0.02316,0,0.00027,0.02668,0,0,0,0,0,0.00027,0,0.00155,0,0,0.00883,0.0015,0.84172,5.95576,0.2557,15.4242,1.15931,0,4.03194,0,0,0,0.25812,5.94218,0.02243,0,0,0,0,0.1244,0.07748,0,0,0.02476,1.70498,0,0.68765,0,0,0.11005,0,0,0,0,0.07861,0,0.2172,1.04336,0,0,0,0,0,0,0,0,0.3841,0.04304,0.00421,0,0.01173,3.03104,0,0.09904,3.8548,0,0,0.11872,0.01668,0,0.00113,0
5,0,0,0.02469,0.0053,0,7.34504,0,0,0,0,0.51318,0.07421,0,0,0,0,0,42.06213,0,15.66303,0,0,0,0.00502,4.04516,0.00847,0.06097,1.08375,0,0,0,0,0,0,0,0,0.13584,0,0,0,0,0,0.00851,0.01111,0,0,0,0,0,0,0.53361,0.23394,2.49526,0,0.00126,0,0,0.16851,0,0,0,0.21926,0,0,0,0,0,0,0,0,0.1968,0.01236,0,0,0.00012,0,0,0,0,0,0,0,0,0,0,0,0.00622,0.72537,6.85416,0.02125,8.58431,0.38988,0,2.19599,0,0,0,0.10882,1.71621,0,0,0.00554,0,0,0.01634,0.00841,0,0,0.00209,1.05431,0,0.00141,0,0,0,0,0,0,0,0.02491,0.01577,0.04104,0.40897,0,0,0,0,0,0,0.09566,0,1.00927,0.13227,0,0,0,0.45892,0,0.15348,1.00015,0,0,0.01499,0,0,0.04676,0
6,0,0,0.03157,0.00705,0,4.95997,0,0.00215,0,0.00146,0.37824,0.01122,0,0,0,0,0,35.34151,0,29.72145,0,0,0,0,5.00781,0,0.02055,0.76525,0.00542,0,0,0.01553,0,0,0,0,0.16771,0,0,0,0,0.00058,0,0.00548,0,0,0,0,0,0,0.36854,0.2087,1.95701,0,0,0,0,0.18857,0.00178,0,0,0.05801,0,0,0,0,0,0,0,0,0.11839,0.0199,0,0.00279,0,0,0,0,0,0,0,0,0.00556,0,0,0,0.00141,0.66671,1.50781,0.00674,5.27461,0.11739,0,1.18145,0,0,0.00024,0.0912,0.29001,0,0,0.00367,0,0,0.00423,0,0,0.00138,0.00355,1.32451,0,0.01209,0,0,0.00191,0,0,0.00171,0,0.12366,0,0.00814,0.49939,0,0,0.00021,0,0,0.00344,0,0,2.11776,0.01627,0,0,0.00106,3.79563,0,0.24234,3.27227,0,0,0.03872,0,0,0.01828,0
7,0,0,0.11816,0.02985,0,16.80409,0.00213,0,0,0.00815,1.44979,0.10412,0,0,0,0,0,28.65307,0,12.73213,0,0,0,0.00901,3.47682,0.01432,0.00668,1.07111,0.03734,0,0,0.022,0,0,0.02025,0,0.44743,0,0,0,0,0.00025,0,0.04899,0,0,0,0,0,0,0.55895,0.37642,1.80066,0,0,0,0,0.19233,0.02468,0,0,0.09753,0.00358,0,0,0,0,0.00137,0,0,0.0447,0.16338,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54705,3.7906,0.00108,13.07946,0.19303,0,3.02562,0,0,0,0.23244,0.61304,0,0,0,0,0,0.00029,0.00317,0,0,0.00766,3.74573,0,0.00759,0,0,0,0,0,0.02107,0,0.00171,0,0.04238,0.71141,0,0,0,0,0,0.01769,0.00321,0,2.8977,0.04956,0,0.00257,0,0.80562,0,0.3636,0.28219,0,0,0.07164,0,0,0.16317,0
8,0,0,0.02467,0.01033,0,14.60346,0,0.00055,0,0,0.53935,0.00058,0,0,0,0,0,22.59322,0,16.27161,0,0,0,0,3.69833,0.00051,0.00565,0.35785,0.00388,0,0,0.00451,0,0,0.00809,0,0.15315,0,0,0,0,0,0,0.04117,0,0,0,0,0,0,0.11206,0.18276,6.76475,0,0,0,0,0.01573,0,0,0,0.01462,0,0,0,0,0,0,0,0,0.01633,0.00062,0,0,0,0,0,0,0.00132,0,0,0,0.00212,0,0,0,0.00321,1.21638,12.60083,0,9.13015,0.05051,0,1.13677,0,0,0.00031,0.03033,0.44892,0,0,0,0,0,0,0.01987,0,0,0.01403,1.59675,0,0.02092,0,0,0.00041,0,0,0.00024,0,0.10044,0,0.02786,0.89708,0,0,0,0,0,0,0.07472,0,0.63167,0.01336,0,0,0.00041,0.88017,0,0.14228,5.5003,0,0,0.02682,0.00363,0,0.00443,0
9,0,0,0.0153,0.00176,0,9.21065,0,0,0,0,0.74454,0.22379,0,0,0,0,0,29.11215,0,13.49426,0,0,0,0,3.86938,0.01946,0.15401,1.41975,0.00663,0,0,0.00032,0,0,0,0,0.01808,0,0,0,0,0.00511,0,0.06124,0,0,0,0,0,0,1.07144,0.31273,3.40195,0,0,0,0,0.19797,0,0,0,0.14885,0.02442,0,0,0.00057,0,0,0,0.013,0.18175,0.15797,0,0,0,0,0,0,0.0037,0,0,0,0.15799,0,0,0,0.00409,1.7733,7.12512,0.02969,11.19807,0.63665,0,4.02996,0,0,0.00329,0.13205,0.79892,0,0,0,0,0,0.02789,0.00429,0,0,0.01586,2.74269,0,0.04263,0,0,0.01972,0,0,0.00059,0,0,0,0.00685,0.49258,0,0,0,0,0,0,0,0.00504,1.1022,0.05852,0.01198,0.00473,0,2.09647,0,0.15847,3.16947,0,0,0.04027,0,0,0.23983,0
10,0,0,0.00891,0.00699,0,1.01195,0,0,0,0,0.14514,0,0,0,0,0,0,33.80106,0,31.67299,0,0,0,0.00293,3.3803,0.03154,0.02015,1.08414,0,0.00214,0.0054,0.00188,0.05684,0,0,0.01863,0.22845,0,0,0,0,0,0,0.02297,0,0,0,0,0,0,0.02801,0.09633,2.42051,0,0.00022,0,0,0.00328,0,0,0,0.00747,0,0,0,0.00057,0,0,0,0,0.03016,0.00063,0,0,0,0,0,0,0,5e-04,0,0,0.00105,0,0,0,0.00734,0.24491,1.60225,0,2.4534,0.02675,0,0.31559,0,0,0.0013,0.06336,0.01587,0,0,0.00314,0,0,0,0.00503,0,0,0.02434,0.82988,0,0.01111,0,0,0.00334,0,0,0,0.03105,0.08825,0.5705,0.00192,0.29136,0,0,0,0,0,0,0.00384,0,0.4292,0.03534,0.00015,0.00127,0.00215,15.2526,0,0.09563,2.9326,0,0,0.54817,0,0.00237,0.01485,0
11,0,0,0.01968,0.00961,0,7.98191,0,0,0,0,0.3917,0.04597,0,0,0,0,0,32.71104,0,21.98958,0,0.00018,0,0,2.25448,0,0.08878,1.5725,0,0,0.00096,0.00238,0.00713,0,0,0.00573,0.0434,0,0,0,0,0,0,0.05181,0,0,0,0,0,0,0.84706,0.18385,2.20193,0,0,0,0,0.22401,0.0061,0,0,0.03822,0.00486,0,0,0,0,0,0,0,0.07059,0.05642,0,0,0,0,0,0,0,0,0,0,0.06732,0,0,0,0.00207,1.22165,3.70995,0.00217,10.78739,0.29148,0,2.64027,0,0.01399,0,0.16782,0.40925,0,0,0,0,0,0.01512,0,0,0,0.00277,3.33905,0,0.01567,0,0,0.00702,0,0,0.00962,0.00827,0,0.01059,0,0.55489,0,0,0,0,0,0.00133,0,0,1.53041,0.01582,0,0,0,2.86405,0,0.09518,0.90762,0,0,0.27409,0,0,0.22525,0
