time,Actinobaculum,Actinomyces,Pauljensenia,Peptidiphaga,Schaalia,Alloscardovia,Bifidobacterium,Scardovia,Rothia,Corynebacterium,Arachnia,Propionibacterium,Nocardiopsis,Lancefieldella,Olsenella,Collinsella,Adlercreutzia,Eggerthella,GGB9365,Gordonibacter,Bacteria_unclassified,Bacteroides,Phocaeicola,Odoribacter,Leyella,Paraprevotella,Prevotellamassilia,Segatella,Alistipes,GGB1410,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Gemella,Abiotrophia,Granulicatella,Enterococcus,Companilactobacillus,Lacticaseibacillus,Lactiplantibacillus,Latilactobacillus,Leuconostoc,Levilactobacillus,Ligilactobacillus,Limosilactobacillus,Weissella,Lactococcus,Streptococcus,GGB3109,GGB3363,GGB9715,GGB51510,GGB55957,Acutalibacter,Agathobaculum,Clostridiaceae_unclassified,Clostridium,Pilosibacter,Eubacteriaceae_unclassified,Eubacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Evtepia,Flintibacter,Gemmiger,Anaerotruncus,Bittarella_ex_Durand_et_al_2017,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB45648,GGB9730,Hominenteromicrobium,Hominilimicola,Hydrogenoanaerobacterium,Massiliimalia,Merdimmobilis,Neobittarella_ex_Bilen_et_al_2018,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,GGB3818,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Coprococcus,Dorea,Eisenbergiella,Enterocloster,Extibacter,Faecalicatena,Faecalimonas,Fusicatenibacter,GGB3511,GGB74412,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Shuttleworthella,Simiaoa,Waltera,Wansuia,Mogibacterium,GGB4456,Intestinibacter,Peptostreptococcus,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Amedibacillus,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Selenomonas,Allisonella,Anaeroglobus,Dialister,Megasphaera,Veillonella,Fusobacterium,Parasutterella,Sutterella,GGB6606,Citrobacter,Enterobacter,Escherichia,Klebsiella,Plesiomonas,Raoultella,Hafnia,Aggregatibacter,Haemophilus,Bilophila,Desulfovibrio,GGB9818,Saccharomyces
2,0,0.02191,0,0,0.007,0,1.02632,0,0,0,0,0.00169,0,0,0.00122,0.50355,0.00287,0.05942,0.00178,0,0.0627,29.7521,19.25198,0.00144,0.00881,0.00054,0,0.02924,1.30525,0.00286,1.67121,0.00016,0,0,0.00505,0.00419,0,0,0,0,0,0,0,0.00935,0,0,0.27238,0.05755,0,0,0.01378,0.10153,0.01208,0.51249,0,2.38415,0,0.18255,0.11114,0.00227,0,0,0,0.12834,0.03314,0.04038,0.0052,0.01233,0.04576,1.04869,0.51395,0,0,0,0.01646,0.00162,0,0.13985,0.00012,0,0.01317,0.00625,0.01176,0,0.03755,0.01897,0.30516,0.00078,0.00447,0.93645,2.15687,0,4.85053,1.65288,0.00037,0.00792,0.74886,0.00111,0.19165,3.44355,0.00852,0.00151,0.0061,0.03364,0.1657,0.00056,0,2.39916,0,0.7527,0.09641,0,0,0.05918,0.00756,0,0,0,0,0.01218,0,0,0.37533,0,0.04127,0,0.01224,0,0.00915,5.79263,1.27672,0.01337,0,0.2887,0,0.00233,2.08015,0.01807,5.92902,0.12432,4.25145,0,0,0,1.74791,0.08994,0,0,0,0,0.00059,0.64581,0,0.00308,0
3,0,0.00197,0,0,0,0,0.67938,0,0,0,0,0,0,0,0,0.54405,0.00307,0.044,0.00329,0,0.06979,22.29927,21.27281,0,0.007,0,0,0.0192,1.20013,0.00121,1.77307,0,0,0,0.00307,0.06545,0,0,0,0,0.00072,0,0,0.00028,0,0.00419,0.7031,0.06268,0,0,0.008,0.00668,0,0.82276,0,1.95076,0,0.15427,0.20789,0,0.00031,0,0,0.13264,0.04022,0.063,0.00119,0,0.07066,2.07375,0.53942,0,0,0,0.01988,0.02893,0,0.15767,0,0,0.05026,0.00072,0.01291,0.00275,0.27325,0.01543,0.44184,0.01417,0.01087,1.45835,1.75731,0,4.94407,2.57376,0,0.00665,0.44513,0,0.32157,3.459,0.00863,0.00279,0,0.04905,0.20047,0,0,2.84346,0,1.37504,0.11115,0,0,0.05594,0.00339,0,0,0,0,0,0,0,0.35613,0.00134,0.04442,0,0.00814,0,0,6.10452,1.11675,0.03934,0,0.36205,0,0,2.23059,0.00872,2.42607,0.07466,3.29308,0,0,0.1185,7.83475,0.1742,0,0,0,0,0.01017,0.31614,0,0.0067,0
4,0,0.00103,0,0,0,0,0.40663,0,0,0,0,0,0,0,0,0.20439,0,0.00022,0,0,0.00334,22.41368,19.21139,0,0.0049,0.00056,0,0.02903,0.38196,0,1.43287,0,0,0,0,0.21151,0,0,0,0,0,0,0,0,0.19762,0.38244,0.08992,0.04842,0,0,0.00143,0.00124,0.00036,0.15168,0,2.80734,0,0.03742,0.03593,0,0,0,0,0.01595,0,0.00976,0,0,0.0115,0.62803,0.09504,0,0,0,0.00497,0,0,0.00091,0,0,0.00256,0,0,0,0.00849,0,0.00371,0,0.00464,0.54791,1.91631,0,4.98828,1.07444,0,0,0.2306,0,0.08781,2.90292,0.00303,0.00328,0.00524,0.00251,0.0244,0,0.00545,2.09217,0,1.30638,0.03507,0,0,0.01488,0,0,0,0,0,0.28397,0,0.00086,0.16567,0,0.00703,0,0,0,0,0.61324,0.3817,0.07425,0,0.07586,0,0.00371,0.20138,0.01706,27.71903,0.04158,2.48069,0,0,0.00075,0.9734,2.65696,0,0,0,0.04039,0.12899,0.0519,0,0,0
5,0,0,0,0,0,0,1.3231,0,0,0,0,0,0,0,0,0.38766,0.0103,0.04979,0.01715,0,0.05263,26.73557,14.93717,0,0.00228,0.00515,0,0,1.29625,0,3.94586,0.00472,0,0,0,0.15768,0,0,0,0,0,0,0,0,0.01047,0.32705,0.01159,0.03195,0,0,0.03282,0.12127,0,0.34137,0,2.47081,0,0.12155,0.54704,0,0,0,0,0.05399,0.03422,0.0315,0,0.02636,0.08466,1.60669,0.65207,0,0,0,0.04712,0.01966,0,0.15964,0,0,0.00976,0.06976,0,0,0.10082,0.00977,0.16185,0.0047,0.00482,0.95435,3.15195,0,6.74858,1.73253,0,0,0.81487,0,0.3326,4.15845,0.00764,0.02373,0.00441,0.04218,0.32552,0,0,3.6006,0,1.44353,0.27283,0,0,0.06216,0.01769,0,0,0,0,0.03221,0,0,0.34912,0.03062,0.14488,0,0.02917,0,0,3.95792,0.90774,0.14961,0,0.2353,0,0,1.75578,0.00366,5.63108,0.14388,5.21869,0,0,0,1.12707,0.35356,0,0,0,0,0,0.21749,0,0,0
6,0,0.04645,0,0,0,0,2.05667,0,0.00017,0,0,0,0,0,2e-04,0.67097,0,0.00979,0,0,0.01446,17.13803,23.33913,0,0.00894,5e-04,0,0.02974,0.51828,0,3.11606,0.00671,0,0,0,0,0,0.02006,0,0,0,0,0.02292,0.03189,0,0,1.39567,0.01411,0.00114,0,0.02356,0.00987,0,0.85671,0,2.9531,0,0.06092,0.09847,0,0,0,0,0.0161,0.00429,0.01677,0,0,0.01103,1.97152,0.11093,0,0,0,0.01792,0,0,0.07112,0,0,0,0,0,0.00391,0.00681,0,0.05387,0,0.00424,1.39558,2.59309,0,7.39156,1.52714,0,0,0.55932,0,0.48579,4.05278,0.00357,0.01491,0.00467,0.00024,0.03328,0,0,4.3213,0,0.76424,0.2056,0,0,0.01263,0.00299,0,0,0.00323,0,0.0502,0,0,0.29308,0.02529,0.02388,0,0.00045,0,0,7.07553,1.4825,0.04251,0,0.27212,0,0.00363,1.53188,0.00122,6.29691,0.07688,3.20421,0,0.00288,0,0.02069,1.36246,0,0,0,0,0.00165,0.12705,0,0,0
7,0,0.05773,0,0,0.01714,0.00426,15.66323,0,0,0,0.00105,0,0,0,0.01472,2.2249,0,0.01934,0,0,0,4.46999,5.48668,0,0,0.00397,0,0.04209,0.04285,0,1.22594,0.00542,0.00402,0.00176,0.00473,0,0,0,0,0,0,0,0.00571,0.42895,0,0,1.08847,0.03856,0,0,0,0,0,0.88334,0,2.23605,0,0.0037,0.23441,0,0,0,0,0,0,0.04687,0,0,0,7.57182,0.07374,0,0,0.00027,0.00381,0,0,0,0,0,0,0,0,0.00153,0.09334,0,0,0,0,3.48039,11.71187,0,18.91684,0.39402,0,0,0.20824,0,0.6607,1.76684,0.00969,0,0.00203,0.00109,0.01904,0,0.00226,1.35402,0,2.20453,0.14082,0,0,0,0,0,0,0,0.00048,0.18194,0,0,0.37482,0,0.0023,0,0,0.00089,0,12.08338,0.51408,0.03738,0,0.49483,0,0.00616,2.60136,0.01849,0.27082,5e-04,0.42361,0,0,0,0.06005,0.01915,0,0,0,0,0,0.03698,0,0,0
8,0,0.01225,0,0,0,0.00665,3.20447,0,0,0,0,0,0,8e-04,0.00205,1.10983,0.01317,0.01447,0,0,0.03051,20.91871,15.82305,0,0.00326,0.00214,0,0.02008,0.97228,0,4.18527,0,0,0,0,0,0,0,0,0,0,0,0,0.02658,0,0,0.30831,0.06502,0,0,0.00433,0.0024,0.00605,0.29479,0,2.09513,0,0.13578,0.21835,0,0,0,0,0.01273,0.01106,0.03585,0,0.003,0.02491,1.98607,0.27382,0,0,0,0.00695,0.04158,0,0.05328,0,0,0.01049,0.00749,0.00037,0,0.15439,0.0263,0.01916,0,0.00178,1.20157,4.81919,0,9.48332,0.92545,0,0.00684,0.47121,0,0.40456,3.62958,0.00262,0,0.00138,0.00925,0.21946,0,0,1.53756,0,1.51533,0.20281,0,0,0.00101,0.00772,0,0,0,0,0.05082,0,0,0.36202,0,0.03453,0,0.00577,0,0,5.65734,0.76446,0.08012,0,0.37352,0,0,0.9634,0.00025,8.58819,0.03388,5.65361,0,0,0,0.06961,0.55402,0,0,0,0,0.00055,0.22409,0,0,0
9,0,0.07371,0,0,0.02494,0,1.71482,0,0.00019,0,0,0,0,0,0,0.4577,0,0.01826,0,0,0.00374,2.37961,35.31844,0,0,0,0,0.01889,0.02228,0,0.45349,0.01167,0.0098,0,0.0123,0,0,0,0,0,0,0,0,0.20981,0,0,0.52553,0.10231,0.02119,0,0,0,0,1.48841,0.09475,1.36023,0.63423,0,0.51331,0,0,0,0.03122,0,0,0,0,0,0.01809,8.70778,0.03805,0,0.00509,0,0.00011,0,0,0,2e-04,0,0,0.00878,0,0.00205,0.00263,0,0,0,0.84353,1.42125,14.01392,0.10164,7.31677,0,0.46134,0,0.01487,0,0,6e-04,0.06883,0,0.00289,0,0.01706,0,2.24022,2.16444,0.75407,2.96663,0.03871,0,0,0.61934,0,0,0.00643,1.3622,0,4.40074,0,0,0.42357,0,0.0175,0,0.00011,0,0,0,0.04887,0.01725,0,0.00913,0,0.00522,0.01263,0.03386,0.00278,0.00014,5.95017,0,0,0,0.34431,0.00873,0,0,0,0.0041,0.01429,0.00823,0,0,0
10,0,0.04661,0.00146,0,0,0.02403,2.38373,0,0,0.00128,0,0.00441,0,0,0.0129,0.54046,0.00104,0.01583,0.00464,0,0.01905,23.07704,10.56546,0,0,0.00432,0,0,0.40616,0,2.74889,0,0,0,0,0,0,0,0,0,0,0,0,0.02134,0,0,0.52802,0.0295,0,0,0.00819,0.00253,0.02394,1.2468,0,2.04719,0,0.1098,0.58749,0,0,0,0,0.00964,0.00518,0.03197,0,0,0.01272,2.88456,0.23693,0,0,0,0,0,0,0.00262,0,0,0.01245,0.01439,0,0,0.05099,0.00713,0.01957,0,0.00083,3.74973,1.76409,0,11.89713,2.11049,0.00138,0.00192,0.27151,0,0.55668,3.26946,0.00456,0.00418,0,0,0.054,0,0,4.41017,0,4.38779,0.2003,0,0,0.00608,0.00163,0,0,0,0,0.00824,0,0,0.52348,0,0.02411,0,0.0022,0,0,5.4814,0.74079,0.0155,0,0.38179,0,0,3.70274,0.17504,2.58688,0.06029,5.60964,0,0,0,0.12129,0.08032,0,0,0,0,0,0.04414,0,0,0
11,0,0.01497,0,0,0,0.01942,4.12713,0,0.00241,0,0,0,0,0,0.00291,0.594,0,0.00201,0,0,0,19.02501,15.04199,0,0.00619,0.00282,0,0.02448,0.05211,0,0.52052,0,0,0,0,0,0,0,0,0,0,0,0.01856,1.23686,0,0,0.63227,0.04071,0.00088,0.00184,0.004,0.01243,0,0.58777,0,3.95246,0,0.00259,0.14762,0,0,0,0,0,0.00052,0.00287,0,0,0.00202,0.66851,0.0498,0,0,0,0.00317,0,0,0,0,0.0012,0.00216,0.01396,0,0.01279,0.05565,0,0.00802,0,0.01973,0.80999,14.17709,0,7.15305,1.42876,0.00399,0,0.09121,0,0.0629,0.59769,0.01604,0,0.00171,0.00026,0.00614,0,0,2.48658,0,1.58726,0.00198,0,0,0.00961,0,0,0,0,0,1.19338,0,0,0.05068,0,0.00351,0,0,0,0,2.32797,0.22545,0.02879,0,0.24991,0,0.00469,4.53616,0.00104,4.80915,0.01624,10.84702,0,0,0.00069,0.08287,0.1877,0,0,0.0127,0,0.0662,0.00718,0,0,0
