time,Actinomyces,Schaalia,Bifidobacterium,Rothia,Corynebacterium,GGB9358,Olsenella,Collinsella,GGB51959,Adlercreutzia,Eggerthella,GGB45432,GGB9365,Gordonibacter,Raoultibacter,Slackia,Bacteria_unclassified,Bacteroides,Phocaeicola,Butyricimonas,Odoribacter,Leyella,Paraprevotella,Segatella,Alistipes,Parabacteroides,GGB1661,Candidatus_Saccharibacteria_unclassified,Bacillus,Gemella,Granulicatella,Enterococcus,Lacticaseibacillus,Latilactobacillus,Leuconostoc,Ligilactobacillus,Limosilactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,Bacillota_unclassified,GGB2998,Negativibacillus,GGB2652,GGB2848,GGB51129,GGB3109,GGB3321,GGB3363,GGB3256,GGB4552,GGB9062,GGB58158,GGB45614,GGB9534,GGB52130,GGB9715,GGB9719,GGB36777,GGB51510,GGB3005,GGB58233,GGB51647,GGB9491,Christensenella,Acutalibacter,Anaeromassilibacillus,GGB9457,GGB9760,Bianquea,Agathobaculum,Clostridiaceae_unclassified,Clostridium,GGB3550,Lactonifactor,Pilosibacter,Anaerofustis,Eubacteriaceae_unclassified,Eubacterium,GGB3278,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,GGB2980,Lentihominibacter,Candidatus_Cibionibacter,Eubacteriales_unclassified,Flintibacter,Gemmiger,Intestinimonas,Anaerotruncus,Angelakisella,Bittarella_ex_Durand_et_al_2017,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB36331,GGB9237,GGB9469,GGB9619,GGB9620,GGB9646,GGB9699,GGB9788,Hominenteromicrobium,Hominilimicola,Hydrogenoanaerobacterium,Lawsonibacter,Massiliimalia,Merdimmobilis,Neobittarella_ex_Bilen_et_al_2018,Oscillibacter,Oscillospiraceae_unclassified,Pseudoflavonifractor,Pusillibacter,Ruminococcus,Ruthenibacterium,Vescimonas,Anaerotignum,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Catenibacillus,Coprococcus,Cuneatibacter,Dorea,Eisenbergiella,Enterocloster,Faecalicatena,Faecalimonas,Frisingicoccus,Fusicatenibacter,GGB3511,GGB3619,GGB3737,GGB3828,GGB42621,GGB42632,GGB51491,GGB51511,GGB74412,Gallintestinimicrobium,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Lachnotalea,Mediterraneibacter,Oliverpabstia,Roseburia,Sellimonas,Simiaoa,Waltera,Wansuia,Mogibacterium,GGB4456,Intestinibacter,Paeniclostridium,Paraclostridium,Peptostreptococcus,Romboutsia,Coprobacillus,Faecalibacillus,Thomasclavelia,Amedibacillus,Amedibacterium,Dielma,Erysipelotrichaceae_unclassified,Holdemanella,Holdemania,Longicatena,Solobacterium,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Allisonella,Dialister,Megasphaera,Veillonella,Parvimonas,Fusobacterium,Comamonas,Oxalobacter,Parasutterella,Sutterella,GGB6606,Aeromonas,Atlantibacter,Citrobacter,Enterobacter,Escherichia,Klebsiella,Kluyvera,Pluralibacter,Raoultella,Acinetobacter,Aggregatibacter,Haemophilus,Cloacibacillus,Bilophila,GGB9818,Akkermansia
5,0.00084,0,0.09679,0,0,0.02927,0,1.08475,0.0148,0.14078,0,0.01402,0.02602,0.00587,0.00047,0.18897,0.04739,3.23062,4.3664,0.02074,0.2534,0.01023,6e-04,8.18394,3.39078,0.85109,0,0,0,0.00042,0,0,0,0,0,0,0.55164,0,0,1.03126,1.10528,0.00384,0.04993,0.3275,0.00582,0.00397,0.02231,0.06222,0.00214,0.04474,0,1.0229,0,0.00204,0,0,0.00238,2.59996,0.00128,0,0,0,0,1.29661,0.01169,0.00257,0,0,0,0.07203,0.04864,1.21569,0.32162,0.91198,0.03426,0.00138,0.47238,0,0.04145,0.1622,1.73872,0,0,0.10283,0.39933,0.00054,0.01935,1.46322,0.00024,0.00595,0.00012,0.00078,1.92849,8.99316,0.02589,0.45547,0,0,0.00609,0.00551,0.00617,0.97343,0.01412,0,0.1436,0.04722,0.02779,0.00427,0.00682,0.0074,3.72077,3.36483,0.01679,0.03497,1.27949,0.06005,0.63203,0.59709,9.01555,1.83801,0.40337,0.45466,3.12029,0,1.2969,0.00047,1.17881,0.00054,0.11789,2.08245,0,0.01891,1.40192,0.00028,0,0.30133,0.01796,0,0,0.0498,0.01262,0.00022,0.02775,0.61843,0.00365,0,0.52867,0.00176,2.24204,0.12724,6.28796,0,0.15899,3.31819,0.01471,4e-04,0,0.00257,0,0,0,0.32456,0.18703,0.67618,0,0,0.12532,0,0.0483,0,0.05647,0.01053,0,0,0.07907,1.45954,0.05993,0.12022,0,0,0,0,0.01069,0,0.00618,0.00471,1.12478,0,0,0,0,0.05317,0.73239,0.52302,0,0,0,0,0,0.00702,0,0.27343,0.00062,0
6,0.00437,0.00025,0.1237,0,0,0.0995,0,1.97919,0.05043,0.23983,0.00116,0.01783,0.0571,0.00842,0.01344,0.29357,0.16811,5.28515,5.24304,0.03112,0.3367,0,0.00083,9.16528,5.17509,1.30689,0,0.00179,0,0.01296,0,0.07965,0,0,0,0,0.04433,0,0,1.36322,0.48749,0.00241,0.06864,0.26843,0.05237,0.00085,0.04748,0.09135,0.00171,0.00691,0,0.76492,0,0.00049,0,0.00165,0.00306,0.73279,0.00328,0,0.00434,0,0,3.7167,0.01876,0.01551,0,0,0,0.0538,0.03803,1.00682,0.45522,1.05832,0.06288,0.00901,0.26871,0,0.11139,0.72941,2.69542,0.00043,0,0.16208,0.46866,0,0.00974,1.38126,0.00377,0.00884,0,0.01006,0.61497,5.58916,0.04949,0.39838,0,0.00064,0.01871,0.00448,0.03044,0.26326,0.0023,0,0.4113,0.11244,0.01984,0.02923,0.04339,0.00814,2.31766,1.55399,0.01309,0.04176,2.16221,0.15062,0.63892,0.77237,8.02044,1.88338,0.72675,0.19271,3.46824,0,0.98152,0.00093,1.94193,0,0.05973,2.37537,0,0.00472,1.84733,0.00351,0.00033,0.36488,0.022,0,0.00026,0.06263,0.01403,0,0.04604,0.1327,0.06411,0,0.15457,0.00058,2.85446,0.12627,3.85056,0,0.02275,0.95936,0.02651,0.00593,0,0.0454,0,0,0,0.20019,0.02938,1.11312,0,0.02086,0.07016,0.0018,0.02636,0,0.05658,0.01491,0,0.04471,0.13,2.36974,0.04739,0.02139,0.00222,0,0,0,0.08842,0,0.01021,0.00484,0.86702,0,0,0,0.00442,0.71495,1.17816,0.72012,0.00348,0,0,0,0,0,0,0.82007,0.00677,0
7,0.00852,0,0.1185,0.00219,0,0.01174,0,0.91878,0.00536,0.01767,0,0,0.00167,0,0,0.059,0.03229,2.52849,10.83935,0.00459,0.1444,0.00147,0,22.5114,0.94554,0.92551,0,0,0,0.01868,0,0,0,0,0,0,0.00736,0,0.00302,0.38293,0.0587,0,0.00074,0.15904,0.00093,0,0,0.09207,0,0.00306,0,0.61505,0,0,0,0,0,0.19358,0,0,0,0,0,0.26158,0.0088,0,0,0,0,0.01952,0,0.44714,0.84694,0.56752,0.05363,0,0.60031,0,0,0.22951,0.7117,0,0,0.00027,0.14476,0,0,0.43791,0,0,0,0,0.36625,6.36086,0.06758,0.0469,0,0,0.06797,0,0,0.01258,0,0,0.05232,0.04781,0.00262,0,0.0079,0,0.2932,0.14021,0.07785,0,1.58693,0.00682,0.04321,0.14257,3.31621,0.67469,1.19087,0.09749,2.88845,0,1.10797,0,0.91058,0,0.01626,2.85833,0,0,2.06428,0,0,1.11732,0.04766,0,0,0.0125,0.00202,0,0.01032,0.45888,0.00094,0,0.06767,0,3.44402,0.16478,9.24416,0,0.01791,0.43567,0,0.00088,0,0,0,0,0.00759,0.5859,0.02419,0.76289,0,0.00216,0.035,0,0.0509,0,0.02122,0.00266,0.00171,0.48409,0.02706,3.48793,0.01347,0.02719,0,0,0,0.01015,0.77357,0.00735,0,0.00515,5.0632,0,0,0,0.00903,2.30891,0.24785,1.12347,0,0.1478,0,0,0,0.20368,0,0.15121,0,0
8,0.00689,0,0.1331,0,0.00135,0.09738,0,1.17135,0.0369,0.22124,0.00085,0.02404,0.05245,0.00724,0.01628,0.23881,0.08469,7.78199,7.33746,0.04823,0.46898,0.00027,0.00241,14.08876,5.3005,1.92488,0.00932,0,0,0,0,0.0111,0,0.00938,0.00631,0,0.00723,0.00518,0.01157,0.1317,0.00163,0.00853,0.12426,0.53351,0.03635,0,0.06732,0.06156,0.00027,0.04608,0,0.29043,0.0163,0.00126,0.00043,0.00722,0.01883,0.48467,0.01212,0.00086,0.00262,0.01437,0.00826,1.25918,0.01382,0.01513,0,0,0,0.07128,0.00935,0.70899,1.08902,0.51139,0.13794,0.01432,0.29763,0,0.08326,0.17025,0.47034,0,0,0.09981,0.16061,0.00181,0.04977,0.80159,0.03501,0.022,0.00943,0.01061,1.91609,4.4554,0.351,0.44614,0,0.01315,0.19076,0.02366,0.0112,0.29824,0.0029,0,0.85804,0.16911,0.04122,0.01354,0.06575,0.0091,3.18968,2.47358,0.19008,0.075,0.72692,0.17207,0.41757,1.15946,3.2214,0.7184,0.77698,0.3057,2.7356,0,1.26903,0.00189,1.44372,0.00729,0.09027,1.50498,0,0.01231,1.81989,0.01008,0,0.37045,0.03005,0,0.01543,0.02514,0.02519,0.00736,0.02742,0.06348,0.0655,0,0.1549,0.00172,2.52294,0.1022,7.53067,0,0.20234,3.32556,0.01941,0,0,0.01149,0,0,0,0.10378,0,0.54961,0,0,0.00558,0.01093,0.01848,0,0.09333,0.00469,0,0.02446,0.04779,3.08056,0.01559,0.0298,0.00179,0,0,0,0.09149,0,0.00073,0.00818,2.05925,0,0,0,0.00267,0.26422,0.09456,0.16942,0,0.19112,0,0,0,0,0,0.42455,0.00163,0
9,0,0,0.04876,0,0,0.02056,0.00038,1.31185,0.03795,0.04384,0,0.00696,0.0103,0.00551,0,0.1988,0.07311,7.7595,4.85726,0.04007,0.27945,0,0,20.45858,5.68116,1.34378,0.00194,0,0,0.00146,0,0,0,0,0,0,0.01431,0,0.00291,0.18117,0.43008,0.00161,0.06299,0.4481,0.02355,0,0.0407,0.05757,0.00458,0.05024,0,1.95374,0,0.00011,0,0.02822,0.00059,1.50046,0.00024,0,7e-04,0,0,1.49568,0.00876,0.00889,0,0,0,0.08105,0.02081,0.91346,0.46892,2.12213,0.10147,0.00569,0.1449,0,0.05346,0.64481,1.09243,0,0,0.12324,0.30449,0,0.01514,0.98711,0.0189,0.00774,0.00027,0.00296,0.92526,4.13499,0.05433,0.41567,0.00128,0.00615,0.02646,0.00653,0.0034,0.50497,0.00442,0,0.20087,0.11034,0.00752,0.01489,0.01926,0.0045,2.25481,2.99842,0.01971,0.03734,1.58131,0.10163,0.47346,0.56578,2.20599,1.45395,0.52102,0.45983,3.48918,0,1.06747,0,1.63513,0.00319,0.06484,1.1183,0,0.02603,1.79147,0.00119,0,0.13609,0.0171,0,0.00462,0.06342,0.02825,0.00474,0.03854,0.10416,0.04382,0,0.21698,0.00155,2.62291,0.15719,4.6719,0,0.17594,1.98035,0.0121,0,0,0.04862,0,0,0,0.38888,0,1.28733,0,0,0.00251,0.00085,0.04538,0,0.0422,0.01911,0,0.07048,0.02667,1.85923,0.03736,0.03444,0.00341,0,0,0,0.04098,0,0.00288,0.01594,0.84014,0,0,0,0,0.00126,0.57368,0.07332,0,0.05456,0,0,0,0.06135,0,0.27114,0.00238,0
10,0.01811,0.01246,0.54765,0.00108,0,0.01773,0.00283,1.52467,0.01231,0.10663,0,0.00738,0.01205,0.00511,0,0.11879,0.04784,5.62303,5.26267,0,0.20807,0.00593,0.00014,18.57069,2.28778,1.24811,0,0,0,0.01159,0,0,0,0,0,0,0.0126,0,0.03748,0.32167,0.08007,0,0.00704,0.09512,0.00843,0,0.00411,0.06582,0.00162,0.03789,0,0.20096,0,0,0,0,0.00834,0.55865,0,0,0,0,0,1.15067,0.0123,0,0,0,0,0.02958,0,0.94158,0.31262,0.57889,0.0515,0.00081,0.64552,0,0.01654,0.4285,0.54544,0,0,0.06792,0.23833,0,0.00408,0.64687,0.00117,0,0,0.00042,0.40322,7.32868,0.03611,0.21741,0,0,0.02247,0,0.0034,0.05731,0,0,0.58156,0.06268,0.02014,0.00573,0.0078,0,1.31014,1.71701,0.02475,0.00253,1.4272,0.05796,0.20664,0.68084,2.68585,1.00819,1.48649,0.54247,5.21202,0.004,1.3371,0,1.76309,0,0.0238,1.77498,0,0,5.53208,0.00194,0,0.25666,0.03525,0,0,0.02097,0.01328,0.00358,0.02271,0.00394,0.02945,0,0.23007,0,4.3113,0.4522,2.61229,0,0.03341,0.65925,0.00604,0.00067,0,0.03145,0.02005,0,0,0.28848,0,0.97611,0,0,0,0,0.02364,0,0.02197,0.01079,0,0.19792,0.07086,2.94451,0.03161,0.26648,0.00386,0,0,0,0.03595,0,0,0.00212,0.7841,0,0,0.00825,0.51927,0.94075,3.07559,2.2088,0.1094,0,0.13576,0,0,0,0,0.29043,0,0
11,0,0,0.04542,0,0,0.19052,0,0.6999,0.01886,0.52042,0,0.01915,0.11001,0.00847,0.01601,0.21732,0.0608,4.66757,3.38324,0.05811,0.51916,0.00068,0,6.26506,4.66053,0.85046,0.02048,0,0,0,0,0,0.06768,0,0,0,0,0,0,0.18273,0.06915,0.01256,0.06279,0.35332,0.01192,0,0.06203,0.11233,0,0.393,0,0.59488,0,5e-04,0,0.0037,5e-04,0.32341,0,0,0,0,6e-04,1.06687,0.00763,0.02441,0,0,0,0.07858,0.01309,1.18936,0.68466,0.52165,0.19255,0.00322,0.26564,0,0.02433,0.34964,1.0352,0,0,0.09005,0.27437,0,0.03706,0.80379,0.01668,0.02064,0.00658,0.00906,1.81952,5.7776,0.05757,0.44957,0,0.00043,0.00231,0,0.0179,0.53433,0.00441,0,1.48265,0.11776,0.0672,0.0121,0.01743,0.01426,3.01782,4.46712,0.03076,0.03945,0.87456,0.10601,0.36766,0.79887,6.05813,1.00736,0.72476,0.78361,3.45279,0,0.70335,0.00228,1.07594,0,0.05879,1.63227,0,0.04889,2.00356,0,0.05858,0.78324,0.00875,0,0.00049,0.03099,0.01233,0.00259,0.0235,0.00673,0.04963,0,0.56047,0.00157,2.05428,0.20506,5.45506,0,0.33832,5.04636,0.01292,0,0,0.00208,0.10109,0,0,0.02517,0,0.29072,0,0,0,0,0.03628,0,0.09653,0.0147,0,0.00606,0.01744,2.24826,0.03152,0.00263,0.00028,0,0,0,0.01269,0,0.0119,0.00052,0.38297,0,0,0.00947,0.20029,0.24105,11.66439,0.57026,0.15685,0,0.01251,0,0,0,0.00632,0.26718,0.01264,0
12,0.0016,0.00253,0.10884,0.00065,0,0.25318,0,0.99641,0.01297,0.13083,0,0.00372,0.08178,0.00421,0.00114,0.14269,0.01609,2.62964,3.96372,0.00105,0.27289,0.00083,0.00133,21.14518,1.34036,0.69872,0,0,0,0.00832,0,0,0,0,0,0,0,0,0,0.0617,0.0345,0,0.01398,0.09392,0.00104,0,0.00389,0.10015,0,0.12558,0,0.4722,0,0,0,0,0.0017,0.34064,0,0,0,0,0,0.55718,0.00693,0.00035,0,0,0,0.03262,0,0.90558,0.23745,0.65169,0.02537,0,0.34784,0,0.00683,0.33498,2.45048,0,0,0.06382,0.44636,0,0,0.93735,0,0,0,0,0.80748,8.89409,0.02922,0.13351,0,0,0.01931,0,0.00038,0.06984,0,0,0.3106,0.04451,0.02395,0,0,8e-05,1.03252,2.81189,0.03167,0,1.32317,0.01487,0.19591,0.45415,7.92967,1.05365,1.09398,0.46117,3.73062,0,0.64576,0,1.14465,0,0.0039,1.79037,0,0.00289,1.72881,0,0,2.1721,0.03421,0,0,0.03035,0.02169,0.00588,0.02192,0.0113,0.01389,0,0.29016,0,2.12144,0.19856,7.01461,0,0.12866,1.44928,0.00546,0.00074,0,0,1e-04,0,0,0.00106,0,0.49158,0,0,0,0,0.01674,0,0.0219,0.01015,0,0.08239,0.03259,2.6356,0.04711,0.0835,0,0,0,0,0.02758,0,0,0.01002,1.81602,0,0.03181,0,0.0299,3.04746,1.38188,0.59226,0,0,0,0,0,0.11062,0,0.15274,0.0013,0
13,0.00023,0,0.07941,0,0,0.18018,0,0.90973,0.04284,0.22006,0,0.02109,0.0403,0.00838,0.00939,0.1716,0.1651,4.25716,2.71237,0.03343,0.43551,0,0,5.87173,5.72797,0.50706,0,0,0,0.00587,0,0,0,0,0,0,0.01391,0,0,0.17755,0.0534,0.00902,0.1618,0.51988,0.06522,0.00085,0.07096,0.10192,0.00329,0.20363,0,1.91154,0,0.00178,0,0.01295,0.00657,0.77658,0.00549,0,0.00351,0.00126,0.00075,4.61838,0.00645,0.01866,0,0,0,0.04384,0.0235,1.10265,0.52249,0.64082,0.09113,0.01074,0.32989,0,0.055,0.43784,2.90962,0,0,0.12681,0.37177,0,0.02786,1.33384,0.01497,0.01065,0,0.0028,1.37979,8.05619,0.09345,0.41692,0,0.00393,0.04063,0.00219,0.00661,0.325,0.00365,0,0.55888,0.13875,0.03368,0.03224,0.02758,0.00667,5.19653,2.79344,0.04591,0.05791,1.66472,0.08048,1.27206,1.07891,7.25396,1.2631,1.026,0.32419,3.03073,0,0.89607,0.00058,1.44108,0,0.05405,2.07297,0.00017,0.05653,1.82954,0,0.00235,0.49217,0.01334,0,0.00335,0.03784,0.02677,0,0.02529,0.0099,0.08099,0,0.23969,0,2.13326,0.17492,5.81892,0,0.15973,2.02576,0.01461,0,0.34969,0.13256,0,0,0,0.07976,0.00322,0.58716,0,0,0,0.00501,0.01945,0,0.05594,0.00745,0,0.22678,0.0347,2.36361,0.01884,0.02407,0,0.00016,0,0.00137,0.01081,0,0.00394,0.00506,0.45681,0,0,0,0.05717,1.75391,1.027,0.47597,0,0,0,0,0,0.00305,0,0.27152,0,0
14,0.00367,0,0.06211,0,0,0.04748,0,0.99059,0.03948,0.32935,9e-05,0.02327,0.00927,0.00458,0.00637,0.09224,0.15665,4.37803,4.65105,0.09158,0.75048,0,0,5.81514,5.05459,1.06093,0.00129,0,0,0.00526,0,0.01826,0,0,0,0,0.00743,0,0,0.21771,0.04306,0.02003,0.14812,0.57792,0.08512,0.00189,0.06431,0.07377,0.00977,0.58281,0,1.58143,0.01079,0.00114,0.00049,0.01464,0.01141,0.19523,0.01477,0.00182,0.00803,0.00192,0.00258,1.30799,0.01023,0.0364,0,0.00062,0,0.06655,0.02142,0.73072,0.59633,0.70842,0.21238,0.01606,0.3669,0.00035,0.02883,0.34904,3.79834,0,0.00312,0.09664,0.47597,0,0.06613,1.3193,0.04278,0.03025,0.00628,0.00402,2.87624,7.31037,0.12138,0.45589,0,0.01381,0.11323,0.01169,0.00593,0.2943,0.00376,0,0.71482,0.17056,0.02173,0.04917,0.04278,0.00697,6.26981,4.22804,0.06014,0.13079,1.95899,0.07731,0.69314,1.09222,6.23121,1.12117,1.3123,0.30291,3.59022,0,0.72903,0.00104,1.18357,0.00107,0.09982,2.21837,0,0.08188,1.49091,0,0.0065,0.89475,0.00707,0,0.02757,0.03179,0.02791,0,0.04182,0.00576,0.11665,0,0.36368,0.00299,1.79407,0.17677,3.86216,0,0.33346,2.62088,0.01296,0.001,0.09635,0.02648,0,0,0,0.56329,0.00604,0.51817,0,0,0,0.01821,0.02114,0,0.07273,0.00334,0,0.07589,0.04113,3.17877,0.00603,0.03123,0,0,0,0.00048,0.04284,0,0.04511,0.00859,1.04341,0,0,0,0.00387,0.28162,0.09797,0.4554,0,0,0,0,0,0.0024,0.00503,0.37068,0.0064,0
